Total Rules: 251505

P0=9837  	P1=9673  	P2=0     	P3=0     	P4=281   	
P5=0     	P6=166116	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 69181

srcMask=0: 12054
 1: 6529	 2: 1225	 3:    0	 4:    0	 5:    0	 6:    8	 7:   65	 8:   59	
 9:   69	10:  743	11: 2863	12: 5529	13: 4532	14: 2745	15: 6817	16: 11598	
17: 6054	18: 1997	19: 3839	20: 4974	21: 6669	22: 8624	23: 18754	24: 22153	
25: 14500	26: 15933	27: 20451	28: 13131	29: 5843	30: 6900	31: 15583	32: 31264	

dstMask=0: 12054
 1: 10092	 2:  473	 3:    0	 4:    0	 5:    0	 6:  187	 7: 1230	 8: 2034	
 9: 1224	10:  169	11:  643	12: 1298	13: 1600	14:  483	15:  131	16:  353	
17:  258	18:   25	19:   39	20:   63	21:  853	22: 1746	23: 2051	24: 1618	
25: 1852	26: 8346	27: 15013	28: 9529	29: 2822	30: 8436	31: 52996	32: 106888	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	 905	 594	 632	 142	3432	3385	 350	 323	  48	68495
1	 904	 717	 652	 143	  37	  45	1861	 312	   0	4207
2	 907	 630	 435	 110	   0	3250	1411	 445	   0	22963
3	 907	 998	 480	 111	   0	  53	 712	 443	   0	 294
4	 907	1067	 463	 115	   0	  39	1052	 218	   0	1276
5	 908	1423	 710	 107	   0	  54	 209	 218	   0	1986
6	 907	 711	 477	 144	3448	  41	 578	 431	   0	3504
7	 907	 925	 657	 143	  32	  45	1713	 440	   0	4747
8	 907	1122	 737	 120	  82	 800	 517	 478	   0	1598
9	 906	 605	 790	 116	  98	 788	 183	 508	   0	2943
10	 901	 741	 658	 139	  30	 588	1139	 896	   0	   0
11	 904	 741	 474	 115	3274	4349	1469	 857	   0	10918
12	 906	 584	 739	 101	   0	 568	 252	 522	   0	18981
13	 906	1046	 700	  92	   0	 576	 464	 555	   0	3209
14	 904	 671	 674	 134	  30	 574	 998	 657	   0	   0
15	 905	1163	 548	 121	3469	 589	 979	 657	  44	2757
16	 906	 542	 485	 118	3283	  51	1338	 423	   0	2845
17	 907	 989	 499	 103	  41	  43	 243	 405	   0	1719
18	 906	 488	 533	 118	   2	  43	 200	 407	   0	  91
19	 906	 726	 455	 110	 161	  44	 911	 406	   0	9434
20	 906	 809	 810	 127	  44	  41	 580	 233	   0	6469
21	 903	 543	 655	 118	3438	  49	 695	 228	   0	1101
22	 907	 950	 533	 127	   0	  53	1214	 506	   0	1880
23	 906	 735	 663	 122	   0	  50	3407	 534	   0	1312
24	 906	 843	 520	 131	3186	3152	 587	 403	   0	   0
25	 906	 893	 459	 122	 116	  48	1490	 416	   0	 325
26	 902	 841	 630	 150	  92	3403	 508	 163	   0	 252
