Total Rules: 256000

P0=0     	P1=73314 	P2=0     	P3=0     	P4=0     	
P5=0     	P6=72138 	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 588

srcMask=0: 0
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:   90	 7:  692	 8: 1654	
 9:  932	10:  145	11:    0	12:    0	13:    0	14:  604	15: 4891	16: 12447	
17: 9468	18: 6308	19: 6059	20: 4299	21: 3894	22: 3451	23: 3647	24: 5098	
25: 2849	26:  481	27: 1343	28:  621	29:  225	30: 6182	31: 50600	32: 130020	

dstMask=0: 0
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:    0	
25:  709	26: 7444	27: 23008	28: 26570	29: 16273	30: 5612	31: 50329	32: 126055	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	1979	 717	 655	 614	1614	 972	1029	 504	   0	87902
1	  14	1060	1250	 536	 387	 920	 998	 511	   0	8816
2	1978	1358	 592	 475	1599	 937	 992	 486	   0	1235
3	  19	 673	 721	 434	 403	 991	1015	 451	   0	   0
4	  18	 943	 978	 455	 424	 879	 940	 505	   0	1324
5	1972	 552	 717	 542	1578	 886	1011	 503	   0	7349
6	1981	1144	 593	 564	1603	 858	1013	 510	   0	1965
7	  11	 446	 526	 512	 398	 898	 953	 497	   0	 648
8	1981	 487	 561	 467	1577	 813	1027	 481	   0	   0
9	   8	 772	 959	 496	 425	 807	 994	 502	   0	 171
10	  15	 826	 621	 551	 385	 926	1026	 510	   0	   0
11	1981	 908	 828	 527	1616	 892	1036	 495	   0	   0
12	 999	1400	 803	 497	1000	 932	 976	 487	   0	 197
13	 999	 679	 943	 656	1001	1028	 994	 482	   0	 198
14	 995	 652	 407	 490	1001	 972	1033	 493	   0	   0
15	 996	1161	 902	 505	1001	 916	 959	 471	   0	   0
16	  14	1021	 978	 497	 406	 899	 989	 521	   0	   0
17	1978	 681	 881	 446	1596	 930	1012	 507	   0	   0
18	  19	 341	 780	 544	 407	 988	1072	 496	   0	   0
19	1975	1425	 579	 494	1594	 844	 964	 519	   0	5253
20	  17	 936	 512	 552	 381	 961	 970	 478	   0	   0
21	1976	 879	 773	 526	1620	 957	 975	 479	   0	11483
22	1983	 695	 773	 506	1580	 909	1035	 493	   0	   0
23	  16	 892	 690	 466	 422	 840	1012	 504	   0	   0
24	 998	 871	 495	 532	1001	 873	 948	 482	   0	   0
25	 997	 606	 420	 448	1000	 879	 958	 503	   0	   0
26	 998	1166	 396	 558	1000	 968	 987	 528	   0	   0
