Total Rules: 244972

P0=61633 	P1=63674 	P2=86107 	P3=3425  	P4=30133 	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 28930

srcMask=0: 23668
 1: 7933	 2:  412	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14: 1985	15: 11288	16: 11594	
17: 4833	18:  459	19:    0	20:    0	21:    0	22: 10566	23: 52071	24: 45825	
25: 18298	26: 1972	27:    0	28:    0	29:    0	30: 2141	31: 15647	32: 36280	

dstMask=0: 23668
 1: 43888	 2: 2900	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22: 2897	23: 14194	24: 12670	
25: 4821	26:  411	27:    0	28:    0	29:    0	30: 1008	31: 10629	32: 31981	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	   0	 760	 430	 149	 615	 305	 251	 142	116309	   0
1	   0	 881	 492	 144	 615	 309	 237	 126	   0	   0
2	   0	 879	 483	 150	 615	 305	 243	 106	   0	   0
3	   0	 678	 445	 126	 615	 305	 283	 125	   0	   0
4	   0	 887	 462	 150	 614	 305	 218	 123	   0	   0
5	   0	 609	 486	 144	 615	 314	 225	 145	   0	   0
6	   0	 793	 469	 118	 615	 305	 238	 140	   0	   0
7	   0	 768	 442	 122	 615	 312	 222	 123	   0	   0
8	   0	 916	 468	 167	 615	 307	 228	 113	   0	   0
9	   0	 677	 472	 142	 615	 303	 250	 125	   0	   0
10	   0	 692	 450	 140	 614	 303	 237	 116	   0	   0
11	   0	 873	 426	 132	 615	 311	 243	 113	   0	   0
12	   0	 752	 531	 143	 615	 301	 238	 128	   0	   0
13	   0	 579	 463	 139	 614	 308	 236	 135	   0	   0
14	   0	 948	 459	 126	 615	 299	 234	 130	   0	   0
15	   0	 817	 469	 127	 615	 322	 234	 127	   0	   0
16	   0	 767	 452	 148	 615	 304	 248	 114	   0	   0
17	   0	 744	 462	 148	 615	 313	 244	 138	   0	   0
18	   0	 655	 469	 135	 615	 311	 257	 140	   0	   0
19	   0	 753	 451	 158	 614	 312	 228	 104	   0	   0
20	   0	 900	 511	 157	 614	 311	 231	 160	   0	   0
21	   0	 726	 471	 134	 615	 303	 233	 118	   0	   0
22	   0	 988	 491	 140	 615	 310	 253	 130	   0	   0
23	   0	 711	 449	 146	 615	 300	 246	 131	   0	   0
24	   0	 876	 483	 130	 615	 303	 246	 131	   0	   0
25	   0	1045	 480	 144	 615	 315	 228	 129	   0	   0
26	   0	 670	 431	 137	 615	 305	 220	 129	   0	   0
