Total Rules: 181065

P0=1427  	P1=6216  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=121565	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 55539

srcMask=0: 98390
 1: 47324	 2: 6887	 3:    0	 4:    0	 5:    0	 6:   80	 7:  315	 8:  367	
 9:  197	10:   56	11:  326	12:  361	13:  204	14:   55	15:  337	16:  348	
17:  184	18:   24	19:  243	20: 1057	21: 1605	22: 1363	23: 1344	24: 1438	
25: 1005	26:  341	27:  320	28:  125	29:   16	30: 1247	31: 5286	32: 10220	

dstMask=0: 98390
 1: 6942	 2: 1551	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:  119	20: 1229	21: 2591	22: 2239	23:  323	24:    0	
25:    0	26:    0	27:    0	28:    0	29:    0	30: 15254	31: 66218	32: 73489	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	 859	 514	   1	  30	1261	 626	 579	 295	5437	85546
1	  12	   6	   0	  28	1261	 635	 587	 278	   0	17526
2	   0	   1	   1	  38	1260	 631	 620	 312	1427	17652
3	   0	 244	   0	  36	1261	 634	 615	 287	   0	   0
4	   0	  72	   0	   7	1260	 633	 565	 254	   0	   0
5	   0	 588	   1	   6	1261	 627	 601	 258	   0	   0
6	   0	   2	   0	  38	1261	 629	 589	 291	   0	   0
7	   0	 128	   1	  49	1261	 632	 642	 274	   0	3743
8	   0	 238	   1	   2	1261	 631	 592	 297	   0	5067
9	   0	   1	   1	   5	1261	 630	 561	 279	   0	   0
10	   0	   0	   0	  41	1261	 633	 607	 300	   0	   0
11	   0	   0	   1	  51	1260	 630	 581	 326	   0	   0
12	   0	  11	 185	   3	1261	 629	 587	 283	   0	   0
13	   0	 655	  10	   2	1260	 632	 601	 271	   0	   0
14	  12	   1	   0	  25	1261	 631	 615	 310	   0	   0
15	 848	 238	   0	  18	1261	 630	 602	 307	   0	   0
16	   0	  11	 485	   3	1261	 633	 636	 305	   0	   0
17	   0	1020	  26	   1	1261	 623	 647	 236	   0	   0
18	  15	   0	   0	  56	1261	 636	 637	 281	   0	   0
19	 968	   0	   1	  52	1261	 627	 629	 291	   0	   0
20	   0	   0	 183	   7	1261	 629	 582	 268	   0	   0
21	   0	   0	  10	   4	1261	 628	 584	 274	   0	   0
22	   0	   0	   1	 173	1260	 633	 596	 286	   0	   0
23	   0	   0	   0	 192	1261	 633	 586	 332	   0	1328
24	   0	   0	   0	  30	1261	 631	 607	 311	   0	   0
25	   0	   0	   0	  37	1261	 628	 597	 286	   0	   0
26	   0	   0	  94	  30	1260	 636	 605	 326	   0	2575
27	   0	   0	   4	  29	1261	 629	 622	 268	 962	5080
28	   0	   0	   3	 114	1261	 634	 578	 296	   0	1275
29	   0	   0	  48	 119	1261	 634	 575	 298	   0	   0
30	  12	   0	   0	  71	1260	 634	 606	 302	   0	   0
31	 605	   0	   1	  75	1261	 631	 587	 273	   0	   0
32	   0	   0	   0	   2	1261	 627	 607	 257	   0	   0
33	   0	   0	   0	   0	1260	 635	 598	 264	   0	   0
34	   0	   0	   3	   1	1261	 626	 581	 294	   0	   0
35	   0	   0	   4	   1	1261	 632	 622	 286	   0	12611
36	   0	   0	   2	  11	1260	 635	 646	 287	   0	   0
37	   0	   0	   2	  10	1261	 626	 612	 289	   0	   0
38	1514	   0	 658	   6	1261	 625	 607	 305	   0	   0
39	   9	   0	  57	   5	1261	 635	 622	 251	   0	   0
40	   0	   0	 277	   3	1260	 633	 612	 275	   0	   0
41	   0	   0	 435	   5	1261	 632	 638	 279	   0	   0
42	   0	   0	   4	  11	1261	 634	 618	 284	   0	   0
43	   0	   0	   1	  16	1261	 628	 572	 316	   0	   0
44	1486	   0	   4	   5	1261	 630	 606	 307	   0	   0
45	  13	   0	 105	   1	1261	 626	 622	 275	   0	   0
46	   0	   0	   2	   0	1261	 628	 530	 297	   0	   0
47	   0	   0	   2	   1	1261	 628	 615	 278	   0	   0
48	   0	   0	 124	  45	1261	 632	 618	 301	   0	   0
49	   0	   0	 324	  41	1260	 628	 622	 283	   0	   0
50	   0	   0	   2	   3	1261	 635	 618	 298	   0	   0
51	   0	   0	   2	   4	1261	 630	 593	 304	   0	   0
52	   9	   0	  17	  10	1261	 631	 649	 293	   0	   0
53	 719	   0	 195	  11	1260	 635	 633	 290	   0	   0
54	   0	   0	 383	 134	1261	 625	 588	 261	   0	   0
55	   0	   0	 274	 109	1261	 631	 594	 296	   0	   0
56	   0	   0	  12	   2	1260	 633	 637	 283	   0	   0
57	   0	   0	 185	   2	1261	 631	 593	 302	   0	   0
58	   0	   8	   0	   1	1261	 633	 670	 305	   0	   0
59	   0	 552	   0	   1	1261	 628	 626	 267	   0	   0
60	   9	   6	  25	  55	1261	 630	 608	 268	   0	   0
61	 717	 517	   1	  45	1261	 627	 629	 271	   0	   0
62	   0	   0	  35	  10	1260	 630	 620	 285	   0	   0
63	   0	   0	 504	   8	1261	 638	 600	 271	   0	   0
64	   0	   0	   0	  31	   0	 633	 593	 295	   0	   0
65	   0	   0	   0	  27	   0	 631	 583	 257	   0	   0
66	   0	   0	   0	  44	   0	 632	 593	 275	   0	   0
67	   0	   0	   0	  45	   0	 635	 614	 312	   0	   0
68	   0	   0	 175	  69	   0	 629	 591	 326	   0	   0
69	   0	   0	   9	  64	   0	 631	 649	 291	   0	   0
70	 711	   0	   0	   3	   0	 626	 557	 274	   0	   0
71	   8	   0	   0	   4	   0	 629	 615	 282	   0	   0
72	   0	   0	   6	  82	   0	 630	 630	 273	   0	   0
73	   0	   0	  86	  73	   0	 627	 623	 278	   0	   0
74	 991	   0	   0	   1	   0	 628	 608	 276	   0	   0
75	  14	   0	   0	   2	   0	 625	 601	 289	   0	   0
76	   0	   0	   0	  71	   0	 629	 608	 301	   0	   0
77	   0	   0	   0	  63	   0	 636	 634	 286	   0	   0
78	   0	   0	  19	 118	   0	 629	 584	 288	   0	   0
79	   0	   0	 251	 121	   0	 637	 618	 300	   0	   0
80	   0	   0	   0	 110	   0	 634	 584	 317	   0	   0
81	   0	   0	   0	 103	   0	 631	 613	 274	   0	   0
82	   0	 683	  12	  50	   0	 629	 634	 279	   0	   0
83	   0	  14	 202	  41	   0	 632	 695	 298	   0	   0
84	   0	   9	   0	   0	   0	 629	 634	 303	   0	   0
85	   0	 559	   0	   1	   0	 630	 629	 272	   0	   0
86	 901	 661	  48	   3	   0	 628	 611	 294	   0	   0
87	  12	  10	 460	   3	   0	 631	 604	 308	   0	   0
88	1134	  13	 158	   2	   0	 633	 622	 302	   0	   0
89	   9	 545	 198	   1	   0	 635	 559	 277	   0	   0
90	   0	   0	   2	   1	   0	 630	 574	 278	   0	   0
91	   0	   0	   2	   4	   0	 634	 572	 316	   0	   0
92	   0	   0	   1	   3	   0	 630	 585	 269	   0	   0
93	   0	   0	   2	   3	   0	 634	 581	 282	   0	   0
94	   0	   5	   2	  45	   0	 632	 581	 272	   0	   0
95	   0	 523	   1	  41	   0	 625	 616	 267	   0	   0
96	  11	   0	  46	  50	   0	 626	 607	 285	   0	   0
97	 715	   0	 410	  52	   0	 622	 600	 318	   0	   0
98	   0	   8	  30	   2	   0	 632	 560	 307	   0	   0
99	   0	 409	 379	   1	   0	 623	 635	 312	   0	   0
100	   0	 390	 219	  18	   0	 634	 605	 260	   0	   0
101	   0	   5	  14	  19	   0	 631	 617	 282	   0	   0
102	   0	   0	   1	 114	   0	 636	 589	 320	   0	   0
103	   0	   0	   0	 114	   0	 634	 640	 286	   0	   0
104	 784	   0	   1	  53	   0	 633	 620	 271	   0	   0
105	  12	   0	   0	  61	   0	 633	 633	 298	   0	   0
106	   0	   0	   0	  28	   0	 626	 634	 296	   0	   0
107	   0	   0	   1	  30	   0	 631	 662	 301	   0	   0
108	   0	   0	   1	  61	   0	 633	 593	 285	   0	   0
109	   0	   0	   0	  68	   0	 633	 610	 291	   0	   0
110	   0	 657	   1	  12	   0	 631	 624	 293	   0	   0
111	   0	   9	   0	  15	   0	 633	 567	 293	   0	   0
112	   0	   0	   2	  20	   0	 629	 552	 285	   0	   0
113	   0	   0	   1	  24	   0	 629	 621	 321	   0	   0
114	   0	   0	   1	 140	   0	 626	 612	 306	   0	   0
115	   0	   0	   2	 125	   0	 629	 611	 300	   0	   0
116	   0	 528	 110	  33	   0	 632	 588	 282	   0	   0
117	   0	  14	   1	  23	   0	 634	 535	 277	   0	   0
118	  13	   7	  15	  88	   0	 633	 595	 280	   0	   0
119	1452	 793	 156	  83	   0	 629	 599	 281	   0	   0
120	   0	   0	  11	   4	   0	 627	 618	 313	   0	   0
121	   0	   0	 151	   1	   0	 633	 634	 322	   0	   0
122	   0	   0	   0	  27	   0	 633	 625	 264	   0	   0
123	   0	   0	   0	  25	   0	 632	 632	 303	   0	   0
124	 891	   0	   0	 192	   0	 630	 584	 307	   0	   0
125	  11	   0	   0	 203	   0	 630	 634	 296	   0	   0
126	   0	   6	   0	 119	   0	 633	 617	 305	   0	   0
127	   0	 436	   0	 116	   0	 628	 591	 299	   0	   0
