Total Rules: 109296

P0=5944  	P1=3835  	P2=92824 	P3=6693  	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 31771

srcMask=0: 58
 1:  138	 2:  177	 3:  198	 4:  186	 5:  198	 6:  195	 7:  223	 8:  259	
 9:  288	10:  293	11:  322	12:  368	13:  434	14:  504	15:  609	16:  759	
17: 1019	18: 1324	19: 1733	20: 2179	21: 2623	22: 3138	23: 4207	24: 4849	
25: 5673	26: 6622	27: 7625	28: 8680	29: 9821	30: 10916	31: 12050	32: 21628	

dstMask=0: 211
 1:  268	 2:  291	 3:  287	 4:  312	 5:  307	 6:  334	 7:  345	 8:  347	
 9:  351	10:  412	11:  426	12:  458	13:  486	14:  577	15:  681	16:  776	
17: 1007	18: 1275	19: 1616	20: 2232	21: 2837	22: 3589	23: 4076	24: 4894	
25: 5623	26: 6674	27: 7676	28: 8834	29: 10039	30: 11262	31: 12517	32: 18276	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
0	   0	   0	   0	   0	   0	   0	   0	   0	   0	5478	   0	92104
1	   0	   0	   0	   0	   0	   0	   0	   0	   0	 730	   0	   0
2	   0	   0	   0	   0	   0	   0	   0	   0	   0	 520	   0	   0
3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
4	   0	   0	   0	   0	   0	   0	   0	   0	   0	1992	   0	   0
5	   0	   0	   0	   0	   0	   0	   0	   0	   0	14572	   0	   0
6	   0	   0	   0	   0	   0	   0	   0	   0	   0	23513	   0	   0
7	   0	   0	   0	   0	   0	   0	   0	   0	   0	 748	   0	   0
8	   0	   0	   0	   0	   0	   0	   0	   0	   0	3849	   0	   0
9	   0	   0	   0	   0	   0	   0	   0	   0	   0	 540	   0	   0
10	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
11	   0	   0	   0	   0	   0	   0	   0	   0	   0	 784	   0	   0
12	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
13	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
14	   0	   0	   0	   0	   0	   0	   0	   0	   0	 761	   0	   0
15	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
16	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
17	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
18	   0	   0	   0	   0	   0	   0	   0	   0	   0	 514	   0	   0
19	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
20	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
21	   0	   0	   0	   0	   0	   0	   0	   0	   0	6845	   0	   0
22	   0	   0	   0	   0	   0	   0	   0	   0	   0	1296	   0	   0
23	   0	   0	   0	   0	   0	   0	   0	   0	   0	1543	   0	   0
24	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
25	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
26	   0	   0	   0	   0	   0	   0	   0	3023	   0	4498	   0	   0
27	   0	   0	   0	   0	   0	   0	   0	1484	   0	   0	   0	   0
28	   0	   0	   0	   0	   0	   0	   0	   0	   0	 516	   0	   0
29	   0	   0	   0	   0	   0	   0	   0	   0	   0	 669	   0	   0
30	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
31	   0	   0	   0	   0	   0	   0	   0	   0	   0	 559	   0	   0
32	   0	   0	   0	2600	   0	   0	   0	   0	   0	   0	   0	   0
33	   0	   0	   0	2757	   0	   0	   0	   0	   0	   0	   0	   0
34	   0	   0	   0	   0	   0	   0	   0	1501	   0	   0	   0	   0
35	   0	   0	   0	   0	   0	   0	   0	3148	   0	   0	   0	   0
36	27114	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
37	  59	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
38	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
39	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
40	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
41	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
42	   0	   0	20655	   0	   0	   0	   0	   0	   0	   0	   0	   0
43	   0	   0	1213	   0	   0	   0	   0	   0	   0	   0	   0	   0
44	   0	   0	   0	   0	   0	   0	1185	   0	   0	   0	   0	   0
45	   0	   0	   0	   0	   0	   0	20212	   0	   0	   0	   0	   0
46	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
47	   0	   0	   0	   0	   0	   0	   0	   0	   0	 551	   0	   0
48	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
49	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
50	   0	   0	   0	   0	26488	   0	20432	   0	   0	   0	   0	   0
51	   0	   0	   0	   0	  87	   0	1224	   0	   0	   0	   0	   0
52	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
53	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
54	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
55	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
56	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
57	   0	   0	   0	   0	   0	   0	   0	   0	   0	1722	   0	   0
58	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
59	   0	   0	   0	   0	   0	   0	   0	   0	   0	1056	   0	   0
60	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
61	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
62	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
63	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
64	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
65	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
66	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
67	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
68	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
69	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
70	   0	25999	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
71	   0	 192	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
72	   0	   0	20798	   0	   0	   0	   0	   0	   0	   0	   0	   0
73	   0	   0	1179	   0	   0	   0	   0	   0	   0	   0	   0	   0
74	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
75	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
76	   0	25904	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
77	   0	 199	   0	   0	   0	   0	   0	   0	   0	 761	   0	   0
78	26803	   0	   0	   0	   0	   0	   0	   0	   0	 472	   0	   0
79	  61	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
80	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
81	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
82	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
83	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
84	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
85	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
86	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
87	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
88	   0	   0	   0	   0	  85	   0	   0	   0	   0	   0	   0	   0
89	   0	   0	   0	   0	26911	   0	   0	   0	   0	   0	   0	   0
90	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
91	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
92	   0	   0	   0	   0	   0	 199	   0	   0	   0	   0	   0	   0
93	   0	   0	   0	   0	   0	25435	   0	   0	   0	   0	   0	   0
94	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
95	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
96	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
97	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
98	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
99	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
100	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
101	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
102	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
103	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
104	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
105	   0	   0	   0	   0	   0	   0	   0	   0	   0	 756	   0	   0
106	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
107	   0	   0	   0	   0	   0	   0	   0	   0	   0	 765	   0	   0
108	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
109	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
110	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
111	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
112	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
113	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
114	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
115	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
116	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
117	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
118	   0	   0	   0	   0	   0	   0	   0	   0	   0	1553	   0	   0
119	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
120	   0	   0	   0	   0	   0	   0	   0	   0	   0	1522	   0	   0
121	   0	   0	   0	   0	   0	   0	   0	   0	   0	 784	   0	   0
122	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
123	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
124	   0	   0	   0	   0	   0	   0	   0	3076	   0	   0	   0	   0
125	   0	   0	   0	   0	   0	   0	   0	1502	   0	2765	   0	   0
126	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
127	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
128	   0	25968	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
129	   0	 177	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
130	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
131	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
132	   0	   0	   0	   0	   0	   0	   0	3031	   0	   0	   0	   0
133	   0	   0	   0	   0	   0	   0	   0	1511	   0	   0	   0	   0
134	  65	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
135	26871	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
136	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
137	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
138	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
139	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
140	   0	   0	   0	2674	   0	   0	   0	   0	   0	   0	   0	   0
141	   0	   0	   0	2758	   0	   0	   0	   0	   0	   0	   0	   0
142	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
143	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
144	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
145	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
146	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
147	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
148	   0	   0	   0	   0	   0	25525	   0	   0	   0	   0	   0	   0
149	   0	   0	   0	   0	   0	 199	   0	   0	   0	   0	   0	   0
150	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
151	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
152	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
153	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
154	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
155	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
156	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
157	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
158	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
159	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
160	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
161	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
162	   0	   0	   0	   0	  89	   0	   0	   0	   0	   0	   0	   0
163	   0	   0	   0	   0	26553	   0	   0	   0	   0	   0	   0	   0
164	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
165	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
166	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
167	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
168	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
169	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
170	   0	   0	   0	2783	   0	   0	   0	   0	   0	   0	   0	   0
171	   0	   0	   0	2591	   0	   0	   0	   0	   0	   0	   0	   0
172	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
173	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
174	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
