Total Rules: 127912

P0=53290 	P1=0     	P2=74554 	P3=68    	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 26795

srcMask=0: 1441
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8: 109931	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:  902	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 15638	

dstMask=0: 2232
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8: 74493	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:   29	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 51158	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
0	 380	  20	7487	  54	 276	14457	7245	 207	 329	 568	59997	53112
1	 430	 289	3997	  49	 289	   9	13484	 198	 315	 573	   0	1186
2	 479	 283	 304	 545	 289	   0	13225	 194	 346	 328	   0	1144
3	 474	 273	 175	  57	 264	   0	8514	 167	 346	 316	   0	1132
4	 455	 127	  24	  55	 283	   0	6279	 215	 331	 331	   0	1137
5	 413	  13	   4	  68	 274	   0	1225	 179	 336	 327	   0	1191
6	 417	   1	   3	  48	 250	   0	   2	 204	 190	 186	   0	1129
7	 428	   0	   3	  48	 281	   0	   0	 189	 214	 187	   0	1028
8	 398	   0	   5	  53	 294	   0	   0	 201	 339	 181	   0	1079
9	 424	   0	   4	  72	 261	   0	   0	 184	 346	 201	   0	1164
10	 400	   0	   4	  53	 250	   0	   0	 215	 346	 203	   0	1014
11	7712	   0	   4	  63	 277	   0	   0	 192	 310	 224	   0	1116
12	7582	   0	   4	  45	 314	   0	   0	 189	 381	 193	   0	1086
13	 415	3507	   3	  53	 269	   0	   0	 200	 287	 189	   0	1049
14	 393	10940	   4	  58	 275	  11	   0	 195	 203	 177	   0	1094
15	 430	  17	   3	  68	 252	  13	   0	 208	 202	 213	   0	1044
16	1292	   0	   5	  62	 295	   0	   1	 187	 191	 179	   0	1051
17	 447	   0	   5	  52	 300	   0	   0	 189	 191	 217	   0	 987
18	 392	   0	   3	  52	 281	   0	   0	 197	 202	 203	   0	1015
19	 412	   0	   3	  54	 235	   0	   0	 186	 221	 209	   0	1019
20	 449	   0	   3	  54	 309	   0	   0	 203	 176	 209	   0	 990
21	 443	   0	   3	  50	 306	   0	   0	 188	 208	 200	   0	1021
22	 424	   0	   4	  53	 299	   0	   0	 213	 186	 200	   0	 992
23	 432	   0	   4	  51	 265	   0	   0	 196	 222	 213	   0	1000
24	 446	   0	   4	  58	 290	   0	   0	 182	 172	 214	   0	1010
25	 407	   0	   4	  57	 281	   0	   0	 202	 198	 194	   0	 952
26	 416	   0	   3	  68	 258	   0	   0	 219	 212	 193	   0	 957
27	 414	   0	   3	  63	 255	   0	   0	 226	 222	 189	   0	 916
28	 397	   0	   4	  55	 275	   0	   1	 196	 216	 191	   0	 851
29	 407	   0	   4	  54	 293	   0	   1	 189	 202	 223	   0	 940
30	 408	   0	   4	  52	 327	   0	   1	 188	 233	 196	   0	 899
31	 407	   0	   4	  52	 274	   0	   0	 185	 215	 185	   0	 938
32	 405	   0	   4	  61	 312	   0	   0	 196	 216	 211	   0	 908
33	 408	   0	   5	  52	 287	   0	   0	 196	 214	 173	   0	 878
34	 416	   0	   4	  56	 274	   0	   0	 222	 191	 198	   0	 880
35	 430	   0	   4	  55	 296	   0	   1	 204	 183	 213	   0	 798
36	 416	   0	   4	  57	 289	   0	   0	 217	 217	 185	   0	 908
37	 378	   0	   5	  68	 310	   0	   0	 180	 217	 180	   0	 857
38	 399	   0	   4	  70	 279	   0	   0	 203	 217	 201	   0	 770
39	 410	   0	   3	  57	 279	   0	   0	 203	 169	 232	   0	 847
40	 426	   0	   4	  59	 295	   0	   0	 221	 203	 267	   0	 822
41	 422	   0	   5	  65	 294	   0	   0	 176	 196	 228	   0	 739
42	 419	   0	   4	  51	 272	   0	   0	 212	 214	 252	   0	 781
43	 404	   0	   3	  53	 305	   0	   0	 203	 211	 239	   0	 787
44	 393	   0	   5	  50	 290	   0	   0	 201	 196	 234	   0	 791
45	 398	   0	   4	  56	 286	   0	   0	 189	 199	 245	   0	 752
46	 421	   0	   3	  62	 269	   0	   0	 208	 162	 267	   0	 723
47	 425	   0	   3	  65	 295	   0	   0	 198	 214	 251	   0	 762
48	 412	   0	   4	  50	 267	   0	   0	 240	 191	 268	   0	 776
49	 427	   0	   3	  56	 277	   0	   0	 200	 235	 204	   0	 776
50	 414	   0	   4	  60	 274	   0	   0	 200	 197	 209	   0	 738
51	 412	   0	   3	  63	 271	   0	   0	 187	 183	 198	   0	 680
52	 395	   0	   3	  58	 251	   0	   0	 191	 232	 194	   0	 710
53	 420	   0	   3	  59	 293	   0	   0	 181	 220	 158	   0	 639
54	 404	   0	   5	  56	 278	   0	   0	 215	 198	 190	   0	 686
55	 392	   0	   3	  50	 257	   0	   0	 201	 225	 205	   0	 662
56	 381	   0	   4	  51	 271	   0	   0	 223	 211	 214	   0	 674
57	 419	   0	   3	  62	 273	   0	   0	 171	 185	 209	   0	 641
58	 428	   0	   3	  60	 287	   0	   0	 194	 198	 223	   0	 641
59	 406	   0	   3	  67	 272	   0	   0	 211	 191	 186	   0	 644
60	 398	   0	   4	  60	 268	   0	   0	 204	 216	 178	   0	 641
61	 410	   0	   3	  73	 315	   0	   0	 202	 199	 184	   0	 621
62	 432	   0	   3	  54	 300	   0	   0	 184	 223	 187	   0	 579
63	 414	   0	   4	  59	 268	   0	   0	 193	 211	 198	   0	 625
64	 432	   0	   5	  50	 262	   0	   0	 205	 202	 207	   0	 592
65	 443	   0	   3	  59	 259	   0	   0	 191	 200	 223	   0	 575
66	 402	   0	   4	  62	 285	   0	   0	 184	 184	 207	   0	 556
67	 437	   0	   4	  70	 261	   0	   0	 199	 222	 195	   0	 519
68	 381	   0	   4	  58	 322	   0	   0	 209	 199	 209	   0	 558
69	 404	   0	   4	  64	 285	   0	   0	 216	 202	 214	   0	 540
70	 414	   0	   4	  64	 285	   0	   0	 217	 208	 186	   0	 552
71	 437	   0	   3	  59	 279	   0	   0	 164	 211	 204	   0	 540
72	 415	   0	   4	  60	 302	   0	   1	 212	 190	 187	   0	 514
73	 402	   0	   5	  50	 285	   0	   0	 201	 194	 175	   0	 515
74	 412	   0	   4	  50	 305	   0	   1	 207	 196	 227	   0	 469
75	 415	   0	   4	  50	 292	   0	   0	 212	 209	 203	   0	 531
76	 403	   0	   4	  55	 280	   0	   1	 210	 200	 209	   0	 457
77	 441	   0	   4	  64	 257	   0	   0	 198	 185	 201	   0	 454
78	 409	   0	   4	  62	 276	   0	   0	 214	 199	 251	   0	 436
79	 379	   0	   4	  52	 304	   0	   0	 203	 218	 213	   0	 452
80	 415	   0	   4	  76	 274	   0	   0	 220	 217	 223	   0	 439
81	 419	   0	   3	  57	 311	   0	   0	 215	 229	 185	   0	 453
82	 412	   0	   4	  68	 303	   0	   0	 220	 217	 196	   0	 408
