Total Rules: 127667

P0=1     	P1=1     	P2=63484 	P3=64179 	P4=1     	
P5=1     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 30090

srcMask=0: 97188
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24: 4743	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 25736	

dstMask=0: 97714
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24: 8498	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 21455	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
0	   0	   0	  11	 112	   0	   0	  28	  97	 212	 248	52080	63300
1	   0	   0	  20	  85	   0	   0	  48	  64	 189	 234	   0	 944
2	   0	   0	  15	  93	   0	   0	  27	  77	 226	 267	   0	 911
3	   0	   0	  17	  94	   0	   0	  35	  87	 206	 239	   0	 898
4	   0	   0	  13	 124	   0	   0	  39	  82	 190	 264	   0	 906
5	   0	   0	  16	 109	   0	   0	  17	  70	 203	 256	   0	 956
6	   0	   0	  21	 104	   0	   0	  41	  78	 213	 232	   0	 912
7	   0	   0	  16	 105	   0	   0	  34	 101	 203	 239	   0	 844
8	   0	   0	  19	  99	   0	   0	  42	  82	 210	 244	   0	 869
9	   0	   0	1027	  97	   0	   0	 782	  83	 212	 232	   0	 951
10	8704	   0	13507	  92	8534	   0	10023	  88	 178	 269	   0	 821
11	   0	   0	2548	  81	   0	   0	2208	  90	 192	 239	   0	 858
12	   0	   0	  28	  97	   0	   0	  24	  80	 230	 244	   0	 879
13	   0	   0	  15	 103	   0	   0	  26	  87	 219	 254	   0	 837
14	   0	   0	  18	  96	   0	   0	  22	  94	 219	 246	   0	 893
15	   0	   0	  24	  80	   0	   0	  38	  95	 211	 235	   0	 825
16	   0	   0	  20	 101	   0	   0	  27	  84	 203	 238	   0	 845
17	   0	   0	  16	 112	   0	   0	  26	  75	 181	 262	   0	 757
18	   0	10786	  16	 101	   0	12210	  22	  83	 203	 255	   0	 816
19	   0	2344	  22	 105	   0	4336	  26	  68	 195	 245	   0	 833
20	4743	17341	  15	 103	8498	13395	  26	  96	 223	 236	   0	 799
21	   0	   8	  21	  92	   0	  12	  30	  89	 222	 221	   0	 811
22	   0	   0	  20	 106	   0	   0	  36	  74	 199	 252	   0	 797
23	   0	   0	  23	 109	   0	   0	  24	  93	 209	 252	   0	 805
24	   0	   0	  18	 112	   0	   0	  29	  77	 193	 244	   0	 805
25	   0	   0	  21	 110	   0	   0	  23	  74	 203	 234	   0	 752
26	   0	   0	  16	 105	   0	   0	  39	  77	 215	 280	   0	 757
27	   0	   0	  23	 101	   0	   0	  26	  84	 208	 217	   0	 752
28	   0	   0	  20	  86	   0	   0	  37	  92	 193	 271	   0	 685
29	   0	   0	  17	  96	   0	   0	  50	  64	 206	 272	   0	 746
30	   0	   0	  15	  72	   0	   0	  44	  74	 211	 230	   0	 715
31	   0	   0	  22	  93	   0	   0	  25	  90	 210	 247	   0	 757
32	   0	   0	  24	 109	   0	   0	  40	  71	 190	 239	   0	 715
33	   0	   0	  16	 129	   0	   0	  42	  89	 199	 257	   0	 692
34	   0	   0	  18	  98	   0	   0	  28	  91	 207	 256	   0	 717
35	   0	   0	  18	 102	   0	   0	  31	  90	 206	 242	   0	 652
36	   0	   0	  19	 101	   0	   0	  38	  85	 226	 239	   0	 725
37	   0	   0	  16	  90	   0	   0	  43	  96	 219	 269	   0	 684
38	   0	   0	  16	  87	   0	   0	  23	  78	 240	 225	   0	 617
39	   0	   0	  19	 104	   0	   0	  33	  89	 205	 236	   0	 683
40	   0	   0	  15	 111	   0	   0	  44	  92	 205	 243	   0	 666
41	   0	   0	  22	 111	   0	   0	  31	  81	 211	 239	   0	 600
42	   0	   0	  19	  96	   0	   0	  28	  67	 213	 256	   0	 624
43	   0	   0	  18	  95	   0	   0	  31	  75	 221	 254	   0	 638
44	   0	   0	  17	 110	   0	   0	  38	  86	 218	 250	   0	 632
45	   0	   0	  19	 104	   0	   0	  39	  88	 213	 239	   0	 614
46	   0	   0	  16	 103	   0	   0	  34	  85	 201	 244	   0	 576
47	   0	   0	  20	  86	   0	   0	  30	  98	 213	 244	   0	 608
48	   0	   0	  16	 110	   0	   0	  32	  81	 202	 255	   0	 612
49	   0	   0	  26	 107	   0	   0	  27	  86	 214	 224	   0	 632
50	   0	   0	  22	  96	   0	   0	  39	  82	 219	 240	   0	 571
51	   0	   0	  10	  97	   0	   0	  28	  88	 198	 254	   0	 545
52	   0	   0	  15	 105	   0	   0	  41	  69	 189	 238	   0	 566
53	   0	   0	  15	 113	   0	   0	  34	  78	 223	 253	   0	 527
54	   0	   0	  18	 100	   0	   0	  39	  82	 190	 257	   0	 565
55	   0	   0	  26	  97	   0	   0	  39	  81	 192	 242	   0	 545
56	   0	   0	  20	 110	   0	   0	  37	  86	 204	 240	   0	 537
57	   0	   0	  21	  96	   0	   0	  39	  71	 202	 242	   0	 522
58	   0	   0	  16	 104	   0	   0	  42	  77	 210	 239	   0	 507
59	   0	   0	  12	 101	   0	   0	  29	  83	 223	 255	   0	 522
60	   0	   0	  19	 101	   0	   0	  28	  80	 213	 241	   0	 505
61	   0	   0	  22	  96	   0	   0	  25	  71	 194	 246	   0	 492
62	   0	   0	  12	 109	   0	   0	  28	  82	 199	 247	   0	 481
