Total Rules: 127405

P0=53507 	P1=0     	P2=73897 	P3=1     	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 26663

srcMask=0: 21664
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:  810	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19: 5878	20: 1623	21: 3945	22: 2490	23: 3295	24: 4318	
25:  814	26:    0	27:  785	28: 2339	29:    0	30:    0	31:  655	32: 78789	

dstMask=0: 76184
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:  820	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19: 5907	20: 1594	21: 3987	22: 2492	23: 3418	24: 3443	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 29560	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
0	   0	  14	 516	 299	   0	  11	  12	  96	 155	   2	34117	 758
1	   0	  12	 210	 303	   0	  10	  11	 124	 121	   5	 717	 725
2	   0	  12	  45	 314	   0	  12	  13	 114	 123	   4	 724	 721
3	   0	  11	  37	 328	   0	  13	  14	 133	 145	   3	 668	 708
4	   0	  12	  42	 258	   0	  12	  16	 112	 122	   2	 680	 728
5	   0	  14	  40	 303	   0	  13	  13	 129	 144	   3	 723	 717
6	   0	2035	  39	 293	   0	 362	  15	 101	 114	   2	 676	 716
7	   0	 480	  37	 302	   0	 473	  13	 123	 128	   3	 685	 672
8	   0	 451	  39	 311	   0	 441	  12	 118	 137	   2	 669	 654
9	   0	 367	  36	 311	   0	 366	  13	 104	 138	   7	 698	 698
10	   0	 263	  42	 320	   0	 255	  11	 105	 111	   3	 641	 649
11	   0	 213	  38	 306	   0	 208	  15	 116	 136	   3	 695	 659
12	   0	 194	  38	 307	   0	 190	  13	  94	 132	   1	 713	 680
13	   0	 159	  36	 308	   0	 170	  14	 110	 113	   1	 634	 636
14	   0	 129	  36	 324	   0	 127	  12	 115	 130	   2	 650	 658
15	   0	 105	  38	 307	   0	 119	  12	 116	 145	   3	 618	 674
16	   0	 104	  35	 289	   0	  97	  11	 104	 130	   6	 619	 648
17	   0	  81	  36	 317	   0	  89	  14	 122	 135	   2	 639	 620
18	   0	  83	  36	 306	   0	  73	  12	 103	 125	   3	 602	 632
19	   0	  66	  36	 313	   0	  61	  13	 124	 154	   4	 635	 604
20	   0	  65	  37	 301	   0	  56	  17	 106	 137	   2	 618	 574
21	   0	 613	  36	 277	   0	  52	  12	  97	 141	  11	 582	 603
22	   0	  47	  33	 292	   0	  52	  10	 123	 135	   0	 638	 619
23	   0	  52	  36	 328	   0	  50	  15	 119	 148	   3	 609	 596
24	   0	  39	  36	 302	   0	  42	  12	 129	 148	   6	 604	 563
25	   0	  40	  33	 328	   0	  42	  14	 114	 143	   4	 618	 620
26	   0	  37	  37	 320	   0	  38	  11	 121	 112	   5	 583	 578
27	   0	  43	  36	 295	   0	  44	  12	 110	 118	   4	 549	 546
28	   0	  43	  34	 291	   0	  33	  12	 120	 111	   4	 539	 582
29	   0	 261	  30	 306	   0	  38	  16	 116	 156	   0	 553	 568
30	   0	 583	  37	 309	   0	  32	  13	 108	 123	   2	 572	 571
31	   0	1327	  37	 305	   0	  39	  12	 119	 139	   1	 556	 572
32	   0	 147	  31	 305	   0	  30	  15	 130	 127	   2	 535	 552
33	   0	  53	  32	 312	   0	  28	  19	 121	 124	   7	 462	 545
34	   0	  39	  40	 322	   0	  30	  17	 114	 139	   1	 579	 524
35	   0	  31	 147	 321	   0	  25	  15	 120	 129	   1	 546	 482
36	   0	  29	 287	 293	   0	  34	  14	 113	 130	   3	 548	 517
37	   0	  24	 288	 316	   0	  28	  13	 104	 139	   3	 529	 518
38	   0	  26	 281	 312	   0	  29	  15	 110	 128	   1	 521	 501
39	   0	  25	 140	 304	   0	  26	  14	 123	 130	   1	 528	 535
40	   0	  25	  30	 320	   0	  23	  12	 122	 113	   2	 481	 480
41	   0	  25	  43	 289	   0	  25	  15	 114	 140	   3	 478	 493
42	   0	  22	 223	 297	   0	  21	  14	 125	 119	   5	 507	 485
43	   0	  24	 290	 321	   0	  25	  15	 135	 139	   3	 479	 478
44	   0	  25	 253	 332	   0	  22	  14	 138	 128	   4	 495	 485
45	   0	  23	  64	 306	   0	  21	  13	 102	 132	   3	 486	 454
46	   0	  26	  25	 312	   0	  23	  12	 109	 137	   2	 448	 462
47	   0	  22	  27	 286	   0	  18	  16	 110	 125	   2	 476	 425
48	   0	  23	  27	 316	   0	  20	  13	 123	 146	   2	 451	 482
49	   0	  21	  32	 301	   0	  23	  15	 109	 131	   1	 450	 466
50	   0	  18	  71	 328	   0	  23	  13	 129	 146	   4	 467	 452
51	   0	  23	 256	 294	   0	  23	  14	 127	 122	   3	 439	 442
52	   0	  17	 276	 307	   0	  18	  14	 130	 151	   2	 393	 416
53	   0	  21	 108	 302	   0	  17	  15	 119	 150	   4	 414	 402
54	   0	  21	  27	 318	   0	  21	  12	 119	 137	   3	 450	 434
55	   0	  24	  26	 295	   0	  21	  16	 120	 140	   7	 412	 408
56	   0	  24	  29	 319	   0	  20	  18	 117	 131	   3	 414	 406
57	   0	  18	  21	 315	   0	  19	  14	 108	 130	   3	 365	 419
58	   0	  22	  28	 307	   0	  24	  15	 108	 152	   3	 394	 406
59	 863	  28	  22	 315	 887	  29	  13	 127	 121	   4	 378	 407
60	   0	  26	  20	 316	   0	  26	  12	 105	 138	   6	 373	 414
61	4880	  30	  25	 295	3505	  30	  14	 120	 104	   2	 387	 389
62	   0	  26	  20	 324	   0	  27	  15	 110	 116	   0	 396	 389
63	   0	  26	  52	 292	   0	  28	  14	 103	 128	   0	 350	 371
64	   0	  26	 202	 313	   0	  25	  11	 119	 136	   1	 354	 388
65	   0	  24	 281	 273	   0	  28	  16	 112	 131	   5	 362	 360
66	   0	  29	 187	 305	   0	  26	  12	 116	 128	   4	 347	 384
67	   0	  47	  45	 309	   0	  50	  16	 113	 138	   3	 321	 332
68	   0	  67	  39	 294	   0	  66	  15	 117	 124	   4	 369	 319
69	   0	  67	  34	 327	   0	  65	  12	 117	 129	   5	 321	 370
70	   0	  70	  36	 292	   0	  66	  15	 107	 128	   6	 328	 302
71	   0	  68	  35	 324	   0	  68	  16	 112	 130	   3	 302	 327
72	   0	  72	  36	 316	   0	  72	  13	 120	 142	   4	 322	 324
73	   0	  70	  39	 308	   0	  73	  12	 117	 117	   5	 338	 295
74	   0	  72	  34	 293	   0	  74	  15	 112	 113	   2	 279	 290
75	   0	  76	  39	 295	   0	  71	  13	 122	 134	   6	 343	 300
76	   0	  73	  36	 325	   0	  72	  11	 111	 129	   0	 281	 258
77	   0	  74	  34	 323	   0	  72	  13	 111	 149	   3	 346	 314
78	   0	1465	  35	 311	   0	  78	  14	 122	 131	   4	 296	 259
