P0=21076 	P1=7857  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=222262	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4
0	   0	 926	 915	 570	   0	   0	   0	   0
1	   0	 927	 910	 549	   0	   0	   0	   0
2	7919	 927	 882	 566	   0	   0	   0	   0
3	   5	 927	 878	 524	   0	   0	   0	   0
4	   0	 930	 880	 545	   0	   0	   0	   0
5	   0	 926	 903	 494	   0	   0	   0	   0
6	   0	 926	 869	 512	   0	   0	   0	   0
7	   0	 928	 902	 555	   0	   0	   0	   0
8	7914	 926	 894	 505	   0	   0	   0	   0
9	   5	 927	 910	 547	   0	   0	   0	   0
10	   0	 930	 867	 485	   0	   0	   0	   0
11	   0	 926	 882	 553	   0	   0	   0	   0
12	   0	 927	 884	 492	   0	   0	   0	4115
13	   0	 928	 882	 539	   0	   0	   0	4116
14	   0	 927	 885	 528	   0	   0	12570	   0
15	   0	 927	 944	 583	   0	   0	 414	   0
16	7908	 925	 937	 541	   0	   0	 378	4052
17	   6	 929	 836	 547	   0	   0	12637	4053
18	   0	 927	 892	 533	   0	   0	   0	   0
19	   0	 928	 890	 511	   0	   0	   0	   0
20	   0	 923	 907	 518	 120	   0	   0	   0
21	   0	 929	 905	 512	62083	   0	   0	   0
22	   0	 929	 889	 519	   0	   0	   0	   0
23	   0	 929	 866	 530	   0	   0	   0	   0
24	   0	 925	 910	 501	   0	   0	12473	   0
25	   0	 928	 853	 538	   0	   0	 422	   0
26	   0	 926	 924	 545	   0	   0	   0	   0
27	   0	 929	 889	 525	   0	   0	   0	   0
28	7915	 927	 901	 539	   0	   0	   0	   0
29	   7	 928	 923	 551	   0	   0	   0	   0
30	   0	 927	 883	 535	   0	   0	   0	   0
31	   0	 926	 877	 507	   0	   0	   0	   0
32	7912	 928	 963	 471	   0	   0	   0	   0
33	   5	 925	 876	 570	   0	   0	   0	   0
34	   0	 928	 903	 526	   0	   0	   0	   0
35	   0	 928	 837	 551	   0	   0	   0	   0
36	   0	 927	 859	 568	   0	   0	   0	   0
37	   0	 928	 877	 504	   0	   0	   0	   0
38	   0	 928	 902	 539	   0	   0	 399	4129
39	   0	 925	 923	 520	   0	   0	12598	4128
40	   4	 929	 894	 537	   0	   0	12587	8190
41	7904	 926	 903	 501	   0	   0	 376	8189
42	   0	 925	 846	 565	   0	   0	   0	   0
43	   0	 928	 931	 554	   0	   0	   0	   0
44	   0	 928	 914	 549	   0	   0	   0	   0
45	   0	 926	 925	 549	   0	   0	   0	   0
46	   0	 928	 844	 548	   0	   0	   0	   0
47	   0	 928	 886	 560	   0	   0	   0	   0
48	   0	 928	 861	 571	   0	   0	 377	   0
49	   0	 927	 886	 538	   0	   0	12606	   0
50	3961	 925	 922	 582	   0	   0	   0	   0
51	   3	 927	 912	 551	   0	   0	   0	   0
52	3961	 928	 880	 543	   0	   0	   0	   0
53	   4	 928	 937	 556	   0	   0	   0	   0
54	   0	 926	 849	 512	   0	   0	   0	   0
55	   0	 929	 920	 532	   0	   0	   0	   0
56	   0	 928	 918	 510	   0	   0	   0	   0
57	   0	 926	 873	 515	   0	   0	   0	   0
58	   0	 927	 875	 531	   0	   0	   0	   0
59	   0	 928	 906	 553	   0	   0	   0	   0
60	7917	 928	 852	 523	   0	   0	   0	4134
61	   5	 927	 914	 561	   0	   0	   0	4134
62	   0	 926	 907	 520	   0	   0	   0	   0
63	   0	 928	 876	 516	   0	   0	   0	   0
64	   0	 803	 882	 524	   0	   0	   0	   0
65	   0	 803	 917	 567	   0	   0	   0	   0
66	   0	 804	 869	 539	   0	   0	   0	   0
67	   0	 804	 901	 518	   0	   0	   0	   0
68	7913	 802	 905	 549	   0	   0	   0	   0
69	   5	 803	 859	 512	   0	   0	   0	   0
70	   0	 806	 901	 524	   0	   0	   0	   0
71	   0	 803	 902	 564	   0	   0	   0	   0
72	   0	 805	 878	 529	   0	   0	   0	   0
73	   0	 804	 866	 532	   0	   0	   0	   0
74	   6	 800	 873	 539	   0	   0	   0	   0
75	7911	 806	 892	 523	   0	   0	   0	   0
76	   0	 805	 934	 558	   0	   0	   0	   0
77	   0	 803	 874	 493	   0	   0	   0	   0
78	   0	 801	 862	 565	   0	   0	   0	   0
79	   0	 803	 897	 512	   0	   0	   0	   0
80	7913	 804	 914	 534	   0	   0	   0	   0
81	   3	 803	 874	 548	   0	   0	   0	   0
82	   0	 803	 877	 584	   0	   0	   0	   0
83	   0	 802	 902	 495	   0	   0	   0	   0
84	   0	 801	 851	 536	   0	   0	   0	8162
85	   0	 805	 866	 519	   0	   0	   0	8161
86	   0	 805	 902	 544	   0	30193	   0	   0
87	   0	 806	 891	 514	   0	 396	   0	   0
88	   0	 805	 896	 558	   0	   0	   0	   0
89	   0	 803	 880	 564	   0	   0	   0	   0
90	7922	 803	 870	 520	   0	60013	   0	   0
91	   3	 803	 903	 524	   0	 766	   0	   0
92	   0	 804	 896	 509	   0	   0	 813	   0
93	   0	 806	 913	 507	   0	   0	24921	   0
94	   0	 801	 870	 519	   0	   0	   0	   0
95	   0	 804	 913	 508	   0	   0	   0	   0
96	7914	 804	 878	 591	61570	   0	   0	   0
97	   5	 804	 885	 513	 129	   0	   0	   0
98	   0	 802	 881	 529	   0	   0	   0	   0
99	   0	 805	 912	 569	   0	   0	   0	   0
100	   0	 803	 868	 572	   0	   0	 767	   0
101	   0	 805	 921	 492	   0	   0	25001	   0
102	   0	 802	 910	 531	   0	   0	   0	   0
103	   0	 804	 874	 517	   0	   0	   0	   0
104	   0	 804	 889	 527	   0	   0	   0	   0
105	   0	 800	 873	 533	   0	   0	   0	   0
106	7917	 806	 901	 570	   0	   0	   0	   0
107	   6	 802	 928	 547	   0	   0	   0	   0
108	   0	 806	 934	 516	   0	   0	   0	   0
109	   0	 803	 860	 546	   0	   0	   0	   0
110	   0	 802	 878	 543	   0	 706	   0	   0
111	   0	 805	 856	 488	   0	60110	   0	   0
112	   7	 803	 872	 525	   0	   0	   0	   0
113	7913	 804	 914	 533	   0	   0	   0	   0
114	   0	 801	 916	 521	   0	   0	   0	   0
115	   0	 804	 879	 536	   0	   0	   0	   0
116	   0	 803	 858	 506	   0	   0	   0	   0
117	   0	 803	 868	 557	   0	   0	   0	   0
118	   0	 803	 938	 560	   0	   0	   0	   0
119	   0	 804	 937	 555	   0	   0	   0	   0
120	   0	 804	 893	 504	   0	   0	   0	   0
121	   0	 805	 883	 516	   0	   0	   0	   0
122	7912	 799	 893	 507	   0	   0	   0	   0
123	   5	 806	 888	 533	   0	   0	   0	   0
124	   0	 805	 916	 505	   0	   0	   0	   0
125	   0	 802	 815	 536	   0	   0	   0	   0
126	   0	 804	 914	 576	   0	30262	   0	   0
127	   0	 804	 917	 559	   0	 384	   0	   0
128	   8	 865	 850	 504	 125	   0	   0	   0
129	7912	 864	 918	 542	62035	   0	   0	   0
130	   0	 865	 885	 536	   0	   0	   0	   0
131	   0	 864	 902	 538	   0	   0	   0	   0
132	   0	 867	 888	 504	   0	30249	25013	   0
133	   0	 863	 900	 522	   0	 381	 792	   0
134	   0	 867	 898	 516	   0	   0	   0	   0
135	   0	 866	 934	 524	   0	   0	   0	   0
136	   0	 867	 859	 537	   0	   0	   0	   0
137	   0	 866	 916	 551	   0	   0	   0	   0
138	7907	 861	 862	 525	   0	   0	   0	   0
139	   6	 865	 917	 488	   0	   0	   0	   0
140	   0	 866	 875	 535	   0	   0	   0	   0
141	   0	 865	 897	 558	   0	   0	   0	   0
142	   0	 861	 887	 527	   0	   0	   0	   0
143	   0	 868	 888	 523	   0	   0	   0	   0
144	   0	 864	 897	 529	   0	   0	12576	   0
145	   0	 863	 928	 513	   0	   0	 381	   0
146	   0	 864	 873	 511	   0	   0	   0	   0
147	   0	 866	 876	 509	   0	   0	   0	   0
148	   0	 863	 867	 577	   0	   0	   0	   0
149	   0	 866	 889	 507	   0	   0	   0	   0
150	   5	 866	 896	 493	   0	   0	   0	   0
151	7913	 867	 910	 511	   0	   0	   0	   0
152	   0	 864	 898	 538	   0	   0	   0	   0
153	   0	 865	 909	 552	   0	   0	   0	   0
154	   0	 866	 921	 564	   0	   0	   0	   0
155	   0	 867	 855	 532	   0	   0	   0	   0
156	   4	 867	 862	 534	   0	   0	   0	   0
157	7916	 864	 882	 523	   0	   0	   0	   0
158	   0	 865	 903	 539	   0	   0	   0	   0
159	   0	 866	 883	 582	   0	   0	   0	   0
160	   0	 865	 865	 543	   0	   0	   0	   0
161	   0	 866	 886	 501	   0	   0	   0	   0
162	7908	 867	 903	 525	   0	   0	   0	4149
163	   3	 864	 880	 550	   0	   0	   0	4150
164	   0	 863	 871	 522	   0	   0	 804	   0
165	   0	 865	 877	 522	   0	   0	24922	   0
166	   0	 867	 971	 542	   0	   0	   0	   0
167	   0	 867	 865	 523	   0	   0	   0	   0
168	   0	 865	 901	 520	   0	   0	 403	   0
169	   0	 864	 908	 523	   0	   0	12542	   0
170	   0	 867	 873	 538	   0	   0	   0	   0
171	   0	 862	 890	 561	   0	   0	   0	   0
172	7919	 866	 878	 577	   0	   0	   0	   0
173	   6	 865	 927	 520	   0	   0	   0	   0
174	   0	 866	 840	 543	   0	   0	   0	   0
175	   0	 863	 875	 561	   0	   0	   0	   0
176	   0	 865	 876	 549	   0	   0	   0	   0
177	   0	 864	 893	 535	   0	   0	   0	   0
178	   2	 865	 927	 561	   0	   0	   0	   0
179	7915	 867	 870	 541	   0	   0	   0	   0
180	   0	 864	 928	 538	   0	   0	   0	4117
181	   0	 865	 839	 558	   0	   0	   0	4117
182	   0	 864	 893	 507	   0	   0	   0	   0
183	   0	 867	 882	 543	   0	   0	   0	   0
184	   0	 866	 888	 557	   0	   0	   0	   0
185	   0	 865	 866	 537	   0	   0	   0	   0
186	   0	 865	 873	 511	   0	   0	   0	   0
187	   0	 864	 892	 556	   0	   0	   0	   0
188	   6	 865	 917	 512	   0	30341	   0	8143
189	7912	 865	 957	 544	   0	 343	   0	8142
190	   0	 866	 893	 507	   0	   0	   0	   0
191	   0	 864	 875	 503	   0	   0	   0	   0
192	   0	1357	 855	 550	   0	   0	   0	   0
