Total Rules: 141807

P0=46149 	P1=2265  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=76645 	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 30529

srcMask=0: 3712
 1: 3284	 2:  679	 3:    0	 4:    0	 5:    0	 6:  120	 7:  753	 8: 1024	
 9:  572	10:  880	11: 3687	12: 5918	13: 4736	14: 1186	15: 6774	16: 11726	
17: 8975	18: 1470	19:  143	20:  854	21: 1209	22: 2183	23: 7845	24: 13125	
25: 10333	26: 2582	27:  528	28:  719	29:  543	30: 1764	31: 13577	32: 30906	

dstMask=0: 3712
 1: 4079	 2:  715	 3:    0	 4:    0	 5:    0	 6:  150	 7:  974	 8: 1222	
 9:  621	10: 1310	11: 4687	12: 5171	13: 3192	14:  853	15: 4482	16: 7328	
17: 5586	18:  827	19:  141	20:  719	21: 1087	22: 1889	23: 7122	24: 12643	
25: 9788	26: 2673	27:  582	28:  511	29:  432	30: 2008	31: 17389	32: 37527	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	   0	 112	   0	  37	   7	 142	 387	 361	   0	38716
1	   0	 962	   0	  38	   7	1866	  26	 363	   0	2334
2	2056	   0	 287	 129	2331	   3	1287	   1	   0	 360
3	  18	   0	  80	 137	  15	   6	 249	   3	   0	   0
4	   0	 100	   0	   0	   3	1359	   3	   1	   0	   0
5	   0	 885	   0	   0	   4	  80	   2	   2	   0	 419
6	  15	   0	   0	 123	  16	   7	   4	   0	   0	   0
7	1978	   0	   0	 134	2434	   7	   4	   5	   0	   0
8	   0	2414	 974	 290	1083	  31	1210	 239	   0	   0
9	   0	1602	 199	 286	   5	   5	 510	 261	   0	   0
10	1926	1527	   0	 222	  11	1380	1554	   2	   0	   0
11	  13	 185	   0	 220	1219	  86	1617	   0	   0	   0
12	1267	 113	   0	   0	  66	   3	   3	   1	   0	   0
13	   8	 871	   0	   0	   5	   8	   2	   0	   0	   0
14	   7	 175	   0	   0	  18	1725	   8	   1	   0	   0
15	1277	1349	   0	   0	1661	 159	   4	   0	   0	   0
16	   0	   0	1425	 217	   5	  61	   4	   1	   0	   0
17	   0	   0	1234	 229	   4	  14	   4	   2	   0	   0
18	  19	 105	 533	 230	  19	   3	 693	  10	   0	   0
19	2183	 865	 113	 247	 641	   3	 119	  14	   0	   0
20	  13	1459	1058	   0	  23	   3	   2	 286	   0	   0
21	1149	 201	 735	   0	1055	   4	   6	 272	   0	   0
22	   5	   0	1483	 124	   7	1757	1043	 357	   0	3674
23	1113	   0	 618	 132	  83	1442	 171	 339	   0	   0
24	   0	1444	   0	 234	   5	1936	   5	   3	   0	   0
25	   0	 171	   0	 239	   4	1820	   2	   3	   0	   0
26	  19	 117	 177	   0	  26	   1	   2	   3	   0	   0
27	2100	 975	 856	   0	 566	   2	   6	   0	   0	   0
28	   0	   0	 183	 280	  12	 165	   2	   0	   0	   0
29	   0	   0	 888	 267	  12	1991	   2	   1	   0	   0
30	  16	   0	   0	   0	1032	   2	   2	  15	   0	   0
31	1968	   0	   0	   0	  19	   1	   5	  13	   0	3131
32	2007	1445	   0	   0	  21	   0	   8	   0	   0	   0
33	  12	 183	   0	   0	1929	   2	   3	   3	   0	   0
34	   0	 100	 292	   0	   7	 125	   5	 348	   0	   0
35	   0	 965	1223	   0	   6	1689	   6	 285	   0	   0
36	  13	   0	 880	 225	  22	1690	  24	 654	   0	   0
37	2018	   0	 183	 221	1921	 164	 389	 673	   0	   0
38	   0	 176	   0	   0	   5	1891	   2	 339	   0	   0
39	   0	1444	   0	   0	   5	 149	   5	 383	   0	   0
40	1189	   0	 126	 359	  15	 100	  62	   1	   0	   0
41	  12	   0	 538	 381	2047	1520	 343	   2	   0	   0
42	1130	1105	1797	 135	  95	   4	 467	 600	   0	   0
43	  13	2396	 369	 134	   9	   1	2339	 506	   0	   0
44	1940	 197	 896	 132	2021	   1	 609	 717	   0	   0
45	  22	1465	 188	 128	  14	   2	 125	 720	   0	   0
46	   0	   0	   0	   0	   6	   2	1508	   5	   0	   0
47	   0	   0	   0	   0	   5	   4	1581	   3	   0	   0
48	1850	 151	   0	 223	2354	  34	   2	   3	   0	   0
49	  16	1393	   0	 241	  19	 525	   3	   1	   0	   0
50	   0	   0	 178	 220	  17	   5	   4	   1	   0	   0
51	   0	   0	 873	 221	   1	   4	   0	   2	   0	   0
52	1891	   0	   0	   0	2394	 151	   4	   1	   0	   0
53	  13	   0	   0	   0	  23	2323	   3	   4	   0	   0
54	   0	   0	 493	  42	   6	   2	   1	  14	   0	   0
55	   0	   0	 130	  40	   7	   1	   0	   8	   0	   0
56	   0	   0	   0	   0	   7	  14	   8	   2	   0	   0
57	   0	   0	   0	   0	   7	   9	   6	   1	   0	   0
58	2013	 169	 291	  40	2493	   7	   4	   8	   0	   0
59	  16	1401	  63	  36	  13	  19	   2	   5	   0	   0
60	  19	   0	 193	 113	  10	 811	 238	   1	   0	   0
61	1992	   0	 941	 134	1211	  77	1248	   1	   0	   0
62	   0	 175	1083	   0	   8	 120	  89	   8	   0	 762
63	   0	1426	 233	   0	1171	1581	 552	   6	   0	   0
64	1972	   0	 974	  87	2089	 120	 105	  45	   0	   0
65	  13	   0	 194	  76	  23	1483	 593	  50	   0	   0
66	   0	   0	 956	 232	   5	   5	 558	   2	   0	   0
67	   0	   0	 508	 242	   5	   2	  98	   0	   0	   0
68	1957	   0	 172	   0	1957	 880	   3	   2	   0	   0
69	  15	   0	 902	   0	  18	1469	   4	   2	   0	   0
70	   0	   0	   0	 218	   4	 149	   5	   3	   0	   0
71	   0	   0	   0	 236	   5	1842	   3	   1	   0	   0
72	  14	   0	 388	   0	  22	   7	2265	   2	   0	   0
73	1962	   0	1801	   0	2137	   6	 413	   0	   0	   0
74	   0	   0	   0	 278	   9	 123	   2	  28	   0	   0
75	   0	   0	   0	 265	   9	1761	   3	  28	   0	   0
76	  19	 183	   0	   0	2358	   4	   2	   3	   0	   0
77	1925	1425	   0	   0	  19	   6	   5	   3	   0	   0
78	   0	1492	   0	   0	   7	   3	  38	 341	   0	   0
79	   0	 196	   0	   0	   6	   3	 210	 279	   0	   0
80	   0	   0	1397	   0	   5	   1	   8	 251	   0	   0
81	   0	   0	 326	   0	   5	   3	   3	 284	   0	   0
82	1964	2920	   0	   0	2447	   1	1131	   1	   0	   0
83	  16	 359	   0	   0	  20	   4	 193	   1	   0	   0
84	   0	1637	 289	 221	  11	 763	 458	   4	   0	   0
85	   0	 171	  70	 231	   1	  63	2412	   1	   0	   0
86	  19	   0	   0	   0	2328	1412	   3	 319	   0	   0
87	1939	   0	   0	   0	  19	  86	   1	 349	   0	   0
88	  13	   0	 291	 357	  19	 140	   4	 310	   0	   0
89	2019	   0	1416	 353	2413	1911	   4	 324	   0	   0
90	   0	   0	   0	   0	   8	   2	1140	  80	   0	   0
91	   0	   0	   0	   0	   9	   0	 210	  79	   0	   0
92	2001	 925	   0	   0	2302	  49	   1	 200	   0	   0
93	  17	 118	   0	   0	  20	 756	   5	 225	   0	   0
94	   0	1418	   0	   0	   6	   2	   3	   1	   0	   0
95	   0	 162	   0	   0	   7	   2	   6	   4	   0	   0
96	   0	 124	1021	   0	   8	   2	 552	 264	   0	   0
