P0=12061 	P1=10220 	P2=0     	P3=0     	P4=0     	
P5=0     	P6=165937	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 72975

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	 870	1021	 544	  93	 866	 870	 796	 435	  58	76308
1	 871	 833	 466	  96	 865	 866	 853	 383	   0	4987
2	 871	 815	 600	 145	 866	 855	 855	 386	   0	18908
3	 869	 568	 960	 156	 865	 851	 797	 409	   0	 709
4	 869	 488	 505	 101	 865	 870	 801	 397	   0	1656
5	 870	 539	 460	  87	 865	 875	 791	 383	   0	1510
6	 871	1408	 668	  99	 865	 851	 802	 404	   0	2697
7	 870	 781	 455	  97	 866	 859	 831	 407	   0	4587
8	 871	 792	 530	 107	 866	 872	 849	 388	   0	 897
9	 870	 830	 796	 114	 865	 859	 765	 377	   0	3697
10	 870	 700	 478	 113	 865	 860	 847	 420	   0	   0
11	 870	 668	 468	 112	 866	 850	 827	 405	   0	11538
12	 870	 882	 556	 141	 865	 857	 766	 425	   0	16220
13	 870	 861	 465	 135	 865	 860	 782	 398	   0	3825
14	 871	 790	 427	  83	 865	 895	 842	 378	   0	   0
15	 870	 650	 488	  86	 866	 853	 866	 411	  57	3318
16	 870	 518	 504	 129	 866	 857	 867	 410	   0	2781
17	 871	 735	 862	 119	 865	 848	 833	 385	   0	2449
18	 870	 886	 558	 124	 865	 865	 859	 368	   0	 115
19	 869	 906	 676	 140	 865	 868	 864	 394	   0	6951
20	 869	 713	 624	 121	 865	 828	 864	 394	   0	5821
21	 868	 635	 631	 115	 866	 893	 849	 409	   0	1481
22	 869	 726	 931	 100	 866	 859	 801	 417	   0	3119
23	 869	 512	 533	 105	 865	 871	 857	 430	   0	 565
24	 871	1052	 608	 123	 866	 860	 847	 414	   0	   0
25	 870	 463	 542	 110	 865	 838	 859	 434	   0	 236
26	 871	 428	 707	 135	 865	 876	 853	 373	   0	 324
27	 870	 511	 892	 136	 866	 878	 870	 408	   0	1165
28	 870	 812	 514	 128	 866	 870	 804	 429	   0	  82
29	 871	 918	 573	 125	 865	 848	 833	 396	   0	   0
30	 870	1000	 769	 146	 865	 863	 843	 409	   0	 270
31	 870	 553	 492	 135	 866	 841	 861	 401	   0	2959
32	 871	1081	 479	  90	 866	 873	 857	 381	   0	  98
33	 871	 726	 581	  82	 865	 854	 814	 379	   0	   0
34	 870	 942	 917	 142	 865	 858	 824	 421	   0	 240
35	 867	 600	 656	 127	 866	 866	 828	 407	   0	1582
36	 871	 633	 420	  78	 865	 903	 842	 365	   0	 222
37	 870	 939	 447	  87	 866	 877	 794	 379	   0	   0
38	 870	 598	 598	 143	 866	 830	 800	 363	   0	   0
39	 870	 873	 693	 137	 865	 841	 840	 415	   0	2635
