P0=0	P1=73314	P2=0	P3=0	P4=0	
P5=0	P6=72138	P7=0	P8=0	P9=0	
P10=0	P11=0	P12=0	P13=0	P14=0	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4
0	1979	 717	 655	 614	1614	 972	1029	 504
1	  14	1060	1250	 536	 387	 920	 998	 511
2	1978	1358	 592	 475	1599	 937	 992	 486
3	  19	 673	 721	 434	 403	 991	1015	 451
4	  18	 943	 978	 455	 424	 879	 940	 505
5	1972	 552	 717	 542	1578	 886	1011	 503
6	1981	1144	 593	 564	1603	 858	1013	 510
7	  11	 446	 526	 512	 398	 898	 953	 497
8	1981	 487	 561	 467	1577	 813	1027	 481
9	   8	 772	 959	 496	 425	 807	 994	 502
10	  15	 826	 621	 551	 385	 926	1026	 510
11	1981	 908	 828	 527	1616	 892	1036	 495
12	 999	1400	 803	 497	1000	 932	 976	 487
13	 999	 679	 943	 656	1001	1028	 994	 482
14	 995	 652	 407	 490	1001	 972	1033	 493
15	 996	1161	 902	 505	1001	 916	 959	 471
16	  14	1021	 978	 497	 406	 899	 989	 521
17	1978	 681	 881	 446	1596	 930	1012	 507
18	  19	 341	 780	 544	 407	 988	1072	 496
19	1975	1425	 579	 494	1594	 844	 964	 519
20	  17	 936	 512	 552	 381	 961	 970	 478
21	1976	 879	 773	 526	1620	 957	 975	 479
22	1983	 695	 773	 506	1580	 909	1035	 493
23	  16	 892	 690	 466	 422	 840	1012	 504
24	 998	 871	 495	 532	1001	 873	 948	 482
25	 997	 606	 420	 448	1000	 879	 958	 503
26	 998	1166	 396	 558	1000	 968	 987	 528
27	 998	 830	 710	 531	1001	1005	1054	 526
28	 997	 867	 512	 519	1000	 908	1031	 482
29	 997	 920	 595	 410	1001	 951	 981	 501
30	 998	 662	 467	 566	1001	 918	 990	 554
31	 998	 959	 510	 520	1001	 882	1001	 493
32	   9	1156	 692	 441	 402	 949	 981	 470
33	1985	 804	 464	 524	1599	 976	1000	 491
34	  16	 474	 546	 587	 422	 904	1027	 465
35	1981	1074	 623	 570	1580	 811	1016	 506
36	1986	 571	 724	 476	1599	1085	1014	 478
37	  10	1625	 568	 481	 402	 943	 957	 497
38	  14	 434	1096	 432	 404	 825	 972	 509
39	1980	 750	1021	 449	1598	 803	1065	 472
40	  11	1409	 980	 467	 432	 886	1045	 485
41	1983	 385	 729	 495	1569	1090	 987	 502
42	1974	1146	 656	 442	1574	1034	1003	 526
43	  14	1343	 390	 544	 428	1099	 949	 482
44	1978	 456	 868	 478	1594	 881	1019	 478
45	   9	1017	 714	 468	 408	 822	 972	 498
46	  11	 507	 652	 534	 386	 814	1006	 495
47	1982	 610	 416	 488	1615	 770	 976	 475
48	  15	 785	 603	 458	 393	 981	1020	 536
49	1980	 960	1156	 480	1608	 903	1003	 484
50	1984	 548	 745	 552	1586	 928	 986	 486
51	  12	1062	 794	 497	 416	 834	1006	 519
52	1974	1020	 677	 475	1572	 990	 999	 504
53	  18	1088	1057	 452	 430	 982	1039	 509
54	  17	 771	 967	 410	 402	 875	1024	 525
55	1979	 666	1116	 590	1599	 921	 981	 499
56	 999	 426	1148	 488	1001	 953	1012	 513
57	 999	1204	 770	 446	1000	 825	1032	 523
58	 997	 885	 508	 508	1001	 955	 999	 527
59	 996	1005	 870	 515	1001	 985	1000	 510
60	1982	 566	 556	 493	1580	 964	1035	 485
61	  13	1201	 720	 519	 422	 842	 943	 502
62	  10	 822	 476	 604	 392	 884	1018	 504
63	1982	 763	 631	 480	1609	 882	1021	 461
64	1981	 631	 927	 658	1582	 985	1019	 466
65	  11	1189	1105	 472	 420	 914	 952	 480
66	  16	1000	1103	 510	 409	 968	1012	 499
67	1978	 940	 613	 554	1592	1006	1009	 482
68	1982	1293	 920	 532	1602	 946	 972	 502
69	  14	 656	 587	 569	 399	1000	1017	 498
70	  16	 895	 663	 468	 402	 875	 935	 481
71	1976	 559	 941	 495	1600	 899	 956	 490
72	1985	1100	 864	 544	1593	1009	1006	 465
73	   9	1083	 784	 537	 408	 980	 937	 468
74	1986	 467	 908	 582	1569	 801	1012	 465
75	   9	 560	 744	 492	 433	 801	 966	 476
76	  12	 666	 548	 495	 405	 943	 983	 488
77	1982	1038	 481	 582	1596	 911	1026	 480
78	  12	 807	 621	 499	 415	1131	1068	 451
79	1980	1453	 592	 498	1587	1020	1003	 479
80	 996	1003	 575	 493	1001	 989	1022	 475
81	 996	 923	 601	 480	1001	1019	1010	 456
82	 997	 782	1004	 545	1001	 954	1040	 508
83	 997	1113	 793	 527	1000	 936	1019	 443
84	  17	1192	 595	 530	 415	 959	1036	 499
85	1978	 876	 750	 507	1586	1015	1018	 492
86	  14	 725	 832	 437	 416	 873	1006	 516
87	1976	 560	 561	 513	1586	 856	 923	 469
88	 996	1127	 868	 535	1001	 998	1024	 470
89	 996	 888	 828	 610	1001	1008	 985	 514
90	 995	1041	 658	 552	1001	1044	 956	 482
91	 996	1156	 742	 453	1000	1006	 948	 488
92	 998	 582	1143	 563	1000	 817	 941	 509
93	 997	 618	 438	 443	1001	 819	 983	 491
94	 996	 795	 662	 465	1001	 957	 971	 489
95	 997	 974	 998	 455	1001	 889	 951	 491
96	  11	1087	 639	 577	 406	1027	1027	 531
97	1981	 940	1366	 507	1595	 976	 950	 457
98	1982	1117	 978	 579	1579	 901	1012	 497
99	  12	 664	 794	 532	 423	 991	 988	 501
100	   9	 661	 653	 486	 424	 810	 957	 459
101	1984	 411	 490	 481	1577	 812	 963	 520
102	   9	1036	 592	 462	 437	1051	 960	 510
103	1986	1273	 800	 642	1565	1004	 997	 517
104	 997	1223	 769	 452	1001	 954	 995	 466
105	 998	 938	 627	 514	1000	1019	1030	 477
106	 998	 828	 602	 499	1001	 897	1016	 475
107	 998	 594	 587	 612	1001	 911	1013	 505
108	  14	 837	 945	 513	 419	 983	1011	 501
109	1979	1100	 716	 552	1583	 971	1019	 520
110	1984	1003	1056	 453	1602	 930	 983	 479
111	  13	 651	 708	 566	 399	 936	 941	 486
112	  16	 768	 912	 483	 413	 891	1013	 517
113	1979	 753	 619	 419	1589	 880	 975	 502
114	  15	 765	 592	 467	 383	 870	 965	 493
115	1980	 803	 581	 472	1618	 890	 982	 470
116	1977	1518	 706	 515	1592	 894	1021	 486
117	  18	 571	 991	 448	 410	1106	 938	 527
118	1982	 804	1002	 463	1618	1023	1030	 511
119	  13	1184	 780	 498	 383	 991	1032	 482
120	1986	 439	 846	 494	1602	 826	 972	 503
121	  10	 732	1310	 558	 400	 837	 939	 498
122	1973	 905	1033	 525	1607	1026	 965	 498
123	  19	1182	 834	 513	 394	 997	 997	 467
124	  13	1272	 444	 503	 431	 982	1041	 463
125	1978	 821	 700	 470	1571	1087	 982	 489
126	1988	 964	 414	 445	1570	 957	1054	 480
127	   6	 859	 704	 442	 431	 965	 949	 481
128	1979	1167	 662	 482	1579	1072	1059	 512
129	  15	 800	 630	 515	 420	1160	 942	 475
130	   9	1264	 737	 485	 425	1074	1028	 487
131	1984	1027	 940	 456	1574	1136	1018	 496
132	 995	 977	1079	 555	1000	1064	1054	 483
133	 995	 984	1391	 569	 999	1025	1001	 529
134	 998	1426	1171	 531	 999	1222	 980	 496
135	 999	1285	 716	 444	 999	1212	1074	 475
136	1984	 667	 794	 507	1616	1015	 946	 463
137	  11	1003	 655	 422	 382	 996	 996	 478
138	  10	1629	1127	 476	 426	1179	1020	 460
139	1986	1027	1254	 468	1573	1265	 998	 465
140	1972	 833	 749	 529	1589	1025	1014	 518
141	  13	 701	 810	 593	 409	 996	1009	 489
142	1982	2196	 754	 554	1574	1167	 976	 512
143	  13	 899	 597	 447	 425	1321	 996	 484
144	 999	1155	 849	 450	 999	1180	 967	 506
145	 999	1437	 734	 443	 999	1162	 984	 493
146	 996	 807	1068	 466	 999	1004	1029	 511
147	 996	 749	1028	 588	1000	1005	 989	 496
148	1979	1452	 488	 459	1576	1235	 980	 476
149	  16	1248	 726	 552	 423	1226	1023	 490
150	  16	1302	 649	 549	 404	1064	 995	 476
151	1980	 806	 407	 502	1594	1171	1031	 500
152	  18	1190	 660	 485	 415	1267	1003	 511
153	1976	1752	 816	 537	1584	1248	1017	 513
154	1980	 616	 481	 555	1617	1128	 966	 493
155	  14	1338	 559	 566	 381	1016	 974	 492
156	  13	1065	 859	 510	 444	1079	 984	 476
157	1978	1025	 839	 483	1555	1094	1004	 501
158	1982	 704	 630	 558	1625	1102	1076	 515
159	  12	1265	 547	 496	 373	 993	1025	 526
160	1974	 700	 708	 546	1603	 960	 950	 493
161	  14	 756	 842	 444	 395	 967	 977	 482
162	  12	 988	 591	 586	 439	1277	1018	 493
163	1985	1790	 842	 528	1560	1185	1008	 501
164	1982	1255	 715	 604	1572	1161	 986	 493
165	  14	1059	 767	 595	 427	1161	1050	 497
166	1979	1317	1032	 448	1610	1160	1026	 501
167	  14	1071	1052	 594	 388	1156	 970	 508
168	   9	 806	1415	 462	 394	1066	 992	 498
169	1987	1088	 663	 512	1605	1061	1006	 507
170	1985	2114	 511	 667	1625	1233	1007	 519
171	  12	1017	 719	 464	 373	1373	1012	 497
172	 999	1014	1319	 558	 999	 938	 954	 495
173	 999	 557	 650	 701	 999	1034	 960	 501
174	1000	1277	 730	 473	 999	1089	 992	 511
175	 999	1089	1236	 498	1000	1124	 939	 491
176	  11	1743	 596	 412	 390	1081	 993	 476
177	1986	 865	1093	 516	1608	1236	1020	 499
178	1980	 934	1378	 493	1610	 958	 969	 496
179	  12	 606	1102	 579	 389	 971	1002	 486
180	1981	1387	 846	 634	1596	1199	 980	 466
181	  12	1298	1062	 536	 402	1157	1080	 467
182	1980	1048	1096	 533	1594	1141	 954	 483
183	  12	1083	1049	 482	 405	1119	1028	 506
184	1979	1179	 889	 474	1588	1276	 992	 463
185	  12	1470	 668	 540	 411	1226	1021	 486
186	1977	1455	 598	 553	1604	1113	1011	 492
187	  17	 899	 529	 538	 394	1188	 961	 471
188	1982	1516	 620	 448	1617	1050	1015	 482
189	  13	 799	 599	 580	 381	1167	1021	 505
190	1982	 887	 988	 486	1556	1060	 969	 533
191	  13	 744	 771	 479	 443	1032	 993	 483
192	  18	1177	 480	 479	 439	1054	1031	 490
