P0=1757  	P1=6865  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=121079	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 55084

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	   6	   0	   3	   2	 659	 630	 606	 294	13753	111729
1	1274	   0	   3	   1	 592	 622	 619	 285	   0	3385
2	   0	   0	   3	 266	 659	 626	 554	 295	2201	10378
3	   0	   0	   2	 251	 659	 628	 642	 311	   0	2475
4	   0	   0	 275	 162	 659	 623	 696	 301	   0	   0
5	   0	   0	 503	 145	 659	 632	 701	 317	   0	   0
6	   0	   0	   3	   3	 658	 629	 617	 273	   0	   0
7	   0	   0	   2	   3	 659	 628	 634	 301	   0	1737
8	   0	 516	  13	   2	 659	 705	 622	 287	   0	5048
9	   0	   3	  11	   4	 659	 624	 655	 309	   0	 869
10	1922	   0	  13	  30	 644	 605	 628	 319	   0	   0
11	   4	   0	  47	  28	 659	 657	 625	 331	   0	   0
12	   0	 797	  25	  29	 659	 773	 738	 290	   0	   0
13	   0	 562	1142	  25	 659	 715	 719	 284	   0	   0
14	   0	   0	  12	  99	 658	 635	 673	 307	   0	   0
15	   0	   0	  11	  99	 659	 615	 656	 301	   0	   0
16	   0	   0	 118	 159	 658	 634	 611	 306	   0	   0
17	   0	   0	   2	 177	 659	 623	 620	 292	   0	   0
18	   8	   0	   0	   2	 659	 626	 660	 299	   0	   0
19	1490	   0	   0	   4	 625	 631	 594	 276	   0	   0
20	   0	  10	   9	 155	 659	 616	 600	 295	   0	   0
21	   0	1481	  10	 157	 659	 930	 603	 296	   0	   0
22	   0	   0	   9	   6	 658	 618	 619	 297	   0	   0
23	   0	   0	 738	  10	 659	 639	 605	 338	   0	2493
24	   0	   0	   3	   5	 659	 629	 632	 278	   0	   0
25	   0	   0	   3	   4	 659	 624	 628	 321	   0	   0
26	2066	   0	   9	 110	 648	 624	 649	 323	   0	   0
27	   9	   0	 651	 107	 659	 633	 635	 296	   0	   0
28	   0	   0	   2	   1	 659	 632	 707	 298	   0	 858
29	   0	   0	   3	   0	 659	 635	 687	 302	1149	3349
30	   0	   0	   3	   2	 658	 636	 623	 297	   0	   0
31	   0	   0	   2	   3	 659	 625	 588	 314	   0	 848
32	   0	   0	 691	  51	 659	 639	 648	 292	   0	   0
33	   0	   0	   7	  60	 659	 619	 618	 295	   0	   0
34	   0	   0	   2	 348	 658	 618	 637	 277	   0	   0
35	   0	   0	  64	 361	 659	 641	 628	 260	   0	   0
36	1562	   0	  10	   5	 639	 632	 642	 295	   0	   0
37	   7	   0	   9	   9	 659	 626	 623	 305	   0	   0
38	   0	   7	  14	   4	 659	 631	 636	 283	   0	   0
39	   0	1522	 389	   5	 659	 849	 627	 285	   0	   0
40	   0	   0	  17	 263	 659	 631	 584	 326	   0	   0
41	   0	   0	 744	 254	 659	 624	 653	 297	   0	   0
42	   0	   4	   0	   2	 658	 636	 644	 304	   0	   0
43	   0	 704	   0	   3	 659	 757	 649	 319	   0	   0
44	1251	   0	   5	   4	 619	 617	 612	 309	   0	   0
45	  11	   0	   5	   2	 659	 635	 594	 294	   0	   0
46	   0	  10	   1	   2	 659	 619	 651	 314	   0	   0
47	   0	1439	   9	   2	 659	 901	 618	 293	   0	   0
48	   6	1383	 671	   3	 659	 888	 697	 313	   0	   0
49	1423	   8	   7	   1	 638	 630	 680	 298	   0	   0
50	   0	   0	1058	   3	 659	 636	 737	 278	   0	   0
51	   0	   0	1151	   5	 659	 630	 734	 290	   0	   0
52	   0	   0	   4	 165	 659	 625	 592	 299	   0	   0
53	   0	   0	 380	 161	 659	 634	 616	 321	   0	   0
54	   0	   6	   0	  26	 659	 616	 611	 306	   0	   0
55	   0	 804	   0	  27	 658	 780	 649	 293	   0	   0
56	   0	   0	   9	   2	 659	 616	 675	 326	   0	   0
57	   0	   0	1138	   3	 659	 636	 668	 319	   0	   0
58	   7	   3	 647	 183	 659	 625	 635	 315	   0	   0
59	1214	 501	   2	 198	 621	 707	 616	 312	   0	   0
60	   0	   0	   0	   3	 658	 611	 692	 295	   0	   0
61	   0	   0	   0	   4	 659	 643	 621	 305	   0	   0
62	   0	 411	  41	 155	 659	 687	 650	 315	   0	   0
63	   0	   3	 386	 167	 659	 624	 688	 273	   0	   0
64	   0	 482	 667	  40	 661	 703	 665	 312	   0	   0
65	   0	   5	   8	  33	 660	 620	 706	 302	   0	   0
66	   0	   0	   3	  89	 661	 623	 617	 282	   0	   0
67	   0	   0	 249	  92	 660	 623	 644	 285	   0	   0
68	   0	  10	   0	 185	 661	 610	 611	 300	   0	   0
69	   0	1213	   0	 160	 660	 904	 592	 299	   0	   0
70	   8	   1	  59	  98	 661	 630	 582	 280	   0	   0
71	1855	 619	  68	 101	 645	 712	 651	 327	   0	   0
72	   0	   0	  38	   8	 661	 628	 600	 280	   0	   0
73	   0	   0	   1	   9	 660	 613	 587	 305	   0	   0
74	1448	   0	   9	   0	 640	 613	 622	 306	   0	   0
75	   7	   0	 764	   1	 661	 631	 624	 285	   0	   0
76	   0	   0	   0	   7	 660	 627	 575	 303	   0	   0
77	   0	   0	   0	   3	 661	 634	 623	 271	   0	   0
78	   0	   0	   0	   9	 661	 638	 597	 286	   0	   0
79	   0	   0	   0	   7	 660	 614	 636	 319	   0	   0
80	   0	   0	   6	   6	 661	 630	 640	 289	   0	   0
81	   0	   0	 359	   1	 660	 628	 624	 289	   0	   0
82	   0	   0	   2	   2	 660	 635	 693	 309	   0	   0
83	   0	   0	  65	   6	 661	 620	 706	 296	   0	   0
84	   0	   5	   0	   1	 660	 630	 674	 295	   0	   0
85	   0	 820	   0	   4	 661	 743	 651	 341	   0	   0
86	   5	   0	   0	  20	 660	 613	 608	 315	   0	   0
87	2039	   0	   0	  23	 654	 628	 619	 293	   0	   0
88	   0	   6	  24	 305	 660	 623	 718	 305	   0	   0
89	   0	1403	 700	 315	 661	 859	 635	 256	   0	   0
90	   0	1212	  75	 306	 661	 856	 625	 313	   0	   0
91	   0	   8	  72	 318	 660	 630	 612	 290	   0	   0
92	   0	   0	 384	   2	 660	 621	 616	 296	   0	   0
93	   0	   0	  13	   2	 661	 628	 644	 312	1140	1744
94	1482	   0	  17	 271	 647	 626	 896	 341	   0	   0
95	   6	   0	 385	 291	 661	 623	 923	 312	   0	   0
96	   0	   0	  12	 112	 660	 632	 602	 270	   0	   0
97	   0	   0	1089	 126	 661	 617	 607	 315	   0	   0
98	   0	   0	   0	   2	 661	 617	 719	 273	   0	   0
99	   0	   0	   0	   1	 660	 622	 642	 277	   0	   0
100	   0	   0	  64	   6	 661	 621	 678	 305	   0	   0
101	   0	   0	  72	   7	 660	 623	 712	 274	   0	   0
102	   9	   0	 651	   1	 661	 608	 653	 284	   0	   0
103	1561	   0	   6	   2	 644	 633	 642	 304	   0	   0
104	   0	1460	  19	 156	 661	 882	 669	 294	   0	   0
105	   0	   9	  20	 163	 660	 634	 721	 301	   0	   0
106	   6	   7	   0	   2	 661	 626	 601	 277	   0	   0
107	1303	 818	   0	   3	 627	 769	 618	 268	   0	   0
108	   0	   0	  57	 168	 661	 620	 633	 293	   0	   0
109	   0	   0	 171	 166	 660	 615	 659	 278	   0	   0
110	   0	   0	   0	  53	 661	 618	 635	 313	   0	   0
111	   0	   0	   0	  54	 660	 616	 620	 309	   0	   0
112	1448	 571	 124	  80	 649	 690	 619	 336	   0	   0
113	   7	   5	   3	  88	 661	 616	 609	 278	   0	   0
114	   0	 522	  11	   4	 660	 685	 631	 306	   0	   0
115	   0	1441	1185	   3	 661	 903	 592	 295	   0	   0
116	   0	   0	   0	  83	 661	 623	 648	 300	   0	   0
117	   0	   0	   0	  83	 660	 623	 694	 293	   0	   0
118	   0	 651	  10	  96	 660	 695	 664	 345	   0	   0
119	   0	 628	1131	 100	 661	 682	 702	 310	   0	   0
120	 850	   8	 410	 243	 651	 625	 584	 294	   0	   0
121	   4	 798	1159	 252	 661	 744	 628	 292	   0	   0
122	   0	1211	   0	  50	 660	 840	 606	 295	   0	   0
123	   0	   7	   0	  46	 661	 622	 598	 300	   0	   0
124	 844	   0	1346	  92	 648	 618	 653	 334	   0	   0
125	   4	   0	 410	  96	 661	 621	 663	 286	   0	   0
126	   0	 813	   0	   4	 660	 764	 593	 306	   0	   0
127	   0	   5	   0	   3	 661	 630	 619	 279	   0	   0
128	   0	   0	   7	 155	 664	 624	 614	 304	   0	   0
129	   0	   0	 215	 160	 664	 622	 630	 279	   0	   0
130	   0	   0	  12	 171	 665	 620	 641	 297	   0	   0
131	   0	   0	 655	 182	 664	 629	 663	 295	   0	   0
132	   0	   0	 656	 175	 665	 620	 676	 286	   0	   0
133	   0	   0	   9	 157	 664	 620	 675	 296	   0	   0
134	1464	   0	   5	  14	 636	 625	 682	 310	   0	   0
135	   9	   0	   5	  15	 664	 629	 665	 290	   0	   0
136	   0	   0	 382	   5	 665	 622	 560	 328	   0	   0
137	   0	   0	   3	   1	 664	 630	 604	 292	   0	   0
138	   0	   8	  53	 279	 664	 618	 649	 337	   0	   0
139	   0	1227	  54	 272	 664	 894	 654	 297	   0	   0
140	1427	   0	 126	  96	 645	 634	 655	 278	   0	   0
141	   7	   0	  10	  92	 664	 619	 668	 310	   0	   0
142	   0	   0	   9	   3	 664	 629	 649	 301	   0	   0
143	   0	   0	   9	   1	 664	 615	 694	 294	   0	   0
144	1284	   0	   5	  18	 619	 624	 585	 269	   0	   0
145	   9	   0	   4	  17	 664	 625	 609	 302	   0	   0
146	   0	   0	   5	   5	 664	 632	 676	 303	   0	   0
147	   0	   0	   5	   3	 664	 613	 678	 307	   0	   0
148	   0	1441	  19	   4	 664	 888	 719	 286	   0	   0
149	   0	1214	  19	   1	 664	 862	 750	 280	   0	   0
150	   0	1388	 685	 282	 665	 913	 654	 298	   0	   0
151	   0	   5	1529	 284	 664	 621	 570	 303	   0	   0
152	   0	   0	   3	   6	 665	 623	 588	 300	   0	   0
153	   0	   0	 116	   4	 664	 632	 643	 287	   0	   0
154	1272	   0	  79	 280	 641	 627	 608	 294	   0	   0
155	   7	   0	 655	 286	 664	 634	 605	 301	   0	   0
156	   0	   0	  11	   6	 664	 618	 664	 317	   0	   0
157	   0	   0	  13	   8	 664	 631	 623	 302	   0	   0
158	   0	   0	  12	   4	 665	 616	 638	 311	   0	   0
159	   0	   0	  12	   2	 664	 626	 611	 302	   0	   0
160	   0	   0	   9	   2	 664	 620	 659	 288	   0	   0
161	   0	   0	   9	   1	 664	 631	 646	 322	   0	   0
162	   0	   0	   8	  87	 664	 639	 631	 307	   0	   0
163	   0	   0	   9	  88	 665	 609	 634	 287	   0	   0
164	   7	   0	 671	 138	 664	 607	 682	 285	   0	   0
165	1670	   0	 399	 135	 656	 632	 656	 305	   0	   0
166	   0	   0	   0	  16	 664	 617	 629	 290	   0	   0
167	   0	   0	   0	  16	 665	 635	 662	 282	   0	   0
168	   9	1836	   2	  36	 664	 972	 697	 293	   0	   0
169	1528	 866	   3	  31	 642	 746	 719	 282	   0	   0
170	   0	   7	  22	   6	 664	 616	 601	 331	   0	   0
171	   0	1427	  22	   6	 664	 923	 625	 303	   0	   0
172	   0	 605	  12	 123	 664	 705	 689	 312	   0	   0
173	   0	   3	  11	 110	 664	 612	 618	 286	   0	   0
174	   0	 832	  12	 243	 665	 742	 727	 313	   0	   0
175	   0	1439	  12	 247	 664	 903	 720	 278	   0	   0
176	   0	1246	 157	 341	 664	 864	 597	 294	   0	   0
177	   0	   8	 656	 345	 664	 637	 642	 289	   0	   0
178	1507	   0	   3	 287	 640	 619	 601	 339	   0	   0
179	   6	   0	   3	 289	 664	 626	 617	 294	   0	   0
180	   0	   0	  45	 277	 664	 620	 668	 270	   0	   0
181	   0	   0	  45	 272	 664	 624	 634	 310	   0	   0
182	   0	   0	   3	  15	 664	 620	 652	 330	   0	   0
183	   0	   0	  12	  19	 665	 622	 666	 283	   0	   0
184	   0	   0	   4	   3	 664	 644	 632	 321	   0	   0
185	   0	   0	 827	   0	 664	 617	 645	 294	   0	   0
186	   0	   0	   5	  12	 665	 629	 572	 333	   0	   0
187	   0	   0	 353	  13	 664	 621	 646	 279	   0	   0
188	   0	   0	  48	   1	 664	 622	 643	 289	   0	   0
189	   0	   0	 705	   1	 665	 619	 629	 308	   0	   0
190	   8	   0	  16	  33	 664	 636	 595	 276	   0	   0
191	1474	   0	1149	  37	 636	 611	 575	 302	   0	   0
192	2115	   0	  71	   5	 654	 624	 618	 289	   0	   0
193	   6	   0	  69	   3	 663	 626	 647	 286	   0	   0
194	   0	   0	   0	  57	 663	 618	 622	 302	   0	   0
195	   0	   0	   0	  51	 663	 635	 587	 306	   0	   0
196	   0	1226	   0	   2	 663	 867	 585	 297	   0	   0
197	   0	   6	   0	   0	 663	 635	 589	 318	   0	   0
198	   0	 807	  19	  26	 663	 759	 652	 306	   0	   0
199	   0	   6	  17	  28	 663	 633	 690	 292	   0	   0
200	1253	   0	   0	   3	 615	 622	 654	 297	   0	   0
201	  10	   0	   0	   2	 663	 621	 627	 288	   0	   0
202	   0	   0	   0	  89	 663	 629	 585	 302	   0	   0
203	   0	   0	   0	  88	 663	 630	 613	 284	   0	   0
204	   0	   0	  39	  97	 663	 617	 599	 324	   0	   0
205	   0	   0	 159	 103	 663	 628	 643	 323	   0	   0
206	   0	   0	   4	   4	 663	 622	 681	 273	   0	   0
207	   0	   0	 356	   2	 663	 624	 701	 297	   0	   0
208	   0	1223	 171	 259	 663	 868	 573	 286	   0	   0
209	   0	   7	1192	 257	 663	 620	 621	 316	   0	   0
210	   0	   0	 374	 274	 663	 621	 592	 328	   0	   0
211	   0	   0	  11	 276	 663	 629	 600	 311	   0	   0
212	1735	   0	  12	 163	 653	 622	 679	 294	   0	   0
213	   8	   0	 361	 155	 663	 634	 652	 315	   0	   0
214	   0	   0	   5	  93	 663	 624	 643	 293	   0	   0
215	   0	   0	   5	  86	 663	 631	 634	 279	   0	   0
216	   0	   0	   9	   3	 663	 624	 714	 330	   0	   0
217	   0	   0	  10	   6	 663	 634	 701	 325	   0	   0
218	   0	  10	 387	   1	 663	 625	 675	 291	   0	   0
219	   0	1394	  14	   7	 663	 886	 626	 320	   0	   0
220	1260	   0	   1	  97	 611	 634	 637	 343	   0	   0
221	   8	   0	  18	  96	 663	 615	 595	 303	   0	   0
222	   0	   0	   7	   2	 663	 640	 603	 310	   0	   0
223	   0	   0	 692	   6	 663	 611	 644	 327	   0	   0
224	  10	   0	   0	 296	 663	 631	 638	 301	   0	   0
225	1245	   0	   0	 293	 621	 623	 597	 278	   0	   0
226	   0	   0	  70	  48	 663	 636	 595	 292	   0	   0
227	   0	   0	  72	  49	 663	 621	 600	 264	   0	   0
228	   0	  10	   6	  11	 662	 627	 700	 298	   0	   0
229	   0	1171	 639	  10	 663	 859	 613	 307	   0	   0
230	   0	   7	 662	   2	 663	 630	 601	 282	   0	   0
231	   0	1212	   7	   4	 663	 875	 593	 281	   0	   0
232	   0	   0	  16	  13	 663	 614	 648	 315	   0	   0
233	   0	   0	  17	  18	 663	 633	 671	 311	   0	   0
