Total Rules: 212035

P0=12519 	P1=769   	P2=729   	P3=740   	P4=712   	
P5=810   	P6=23902 	P7=137713	P8=34141 	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 41986

srcMask=0: 75995
 1: 34999	 2: 3198	 3:    0	 4:    0	 5:    0	 6:   38	 7:  132	 8:  156	
 9:   81	10:   18	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:  316	22: 2807	23: 5255	24: 5430	
25: 1995	26:  176	27:    0	28:    0	29:    0	30: 4216	31: 26075	32: 51148	

dstMask=0: 75995
 1: 12806	 2: 1751	 3:    0	 4:    0	 5:    0	 6:   34	 7:  147	 8:  144	
 9:   78	10:   14	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21: 1393	22: 16457	23: 29762	24: 27876	
25: 12763	26: 1596	27:  108	28:    0	29:    0	30: 3868	31: 25505	32: 52167	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	   0	 144	 368	 183	   0	 371	 458	 194	21115	65725
1	   0	 143	 348	 192	   0	 363	 474	 208	   0	 877
2	   0	 142	 353	 204	5331	 373	 479	 189	1879	35803
3	   0	 143	 331	 187	   8	 360	 494	 204	   0	11970
4	   0	 142	 344	 202	   0	 371	 472	 214	   0	   0
5	   0	 143	 344	 205	   0	 370	 544	 210	   0	   0
6	   0	 144	 378	 180	   0	 375	 499	 200	   0	   0
7	   0	 142	 305	 187	   0	 369	 485	 213	   0	1759
8	   0	 142	 347	 195	   0	 364	 483	 209	   0	   0
9	   0	 144	 322	 195	   0	 366	 498	 191	   0	   0
10	   0	 143	 339	 206	5354	 373	 470	 189	   0	 867
11	   0	 143	 361	 209	   7	 367	 476	 210	   0	   0
12	   0	 143	 364	 206	   0	 372	 485	 212	4434	2625
13	   0	 143	 319	 192	   0	 371	 488	 191	   0	   0
14	   0	 143	 367	 206	   0	 371	 496	 212	   0	   0
15	   0	 143	 368	 210	   0	 356	 465	 195	   0	   0
16	   0	 143	 349	 192	   0	 372	 467	 209	   0	   0
17	   0	 143	 342	 200	   0	 370	 481	 203	   0	   0
18	   0	 143	 351	 196	   0	 378	 460	 196	   0	   0
19	   0	 142	 346	 191	   0	 365	 500	 209	   0	   0
20	   0	 143	 345	 194	5346	 372	 503	 202	   0	   0
21	   0	 143	 322	 190	   5	 374	 471	 204	   0	   0
22	   0	 143	 345	 207	   0	 361	 467	 194	   0	 875
23	   0	 143	 366	 205	   0	 372	 476	 197	 924	 270
