P0=2534  	P1=10134 	P2=0     	P3=0     	P4=0     	
P5=0     	P6=100857	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 44666

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	   5	   0	 348	  22	 542	 521	 546	 232	19365	111424
1	 601	   0	  46	   9	 541	 532	 537	 205	   0	1429
2	   0	 296	 189	  28	 542	 546	 526	 233	2859	8466
3	   0	 388	  61	  39	 541	 569	 559	 233	   0	   0
4	   0	 266	 107	 123	 541	 545	 508	 236	   0	   0
5	   0	   1	 270	 117	 542	 516	 538	 207	   0	   0
6	 667	 311	  12	 111	 538	 553	 618	 212	   0	   0
7	   7	 304	  16	 107	 542	 546	 552	 222	   0	1451
8	 969	   0	 227	  71	 541	 523	 563	 242	   0	1448
9	   8	   0	 168	  86	 542	 530	 547	 212	   0	   0
10	   0	 302	  12	  24	 541	 542	 535	 210	   0	   0
11	   0	   1	  16	  32	 542	 511	 547	 219	   0	   0
12	   4	   8	  51	 149	 542	 521	 577	 234	   0	   0
13	 594	 426	 369	 158	 541	 602	 589	 238	   0	   0
14	   4	   5	 435	  18	 542	 523	 570	 218	   0	1434
15	 416	 706	 209	  19	 541	 649	 532	 221	   0	   0
16	   0	 308	 283	  68	 541	 535	 534	 226	   0	   0
17	   0	   3	  34	  58	 542	 522	 526	 223	   0	   0
18	 601	   0	  95	  68	 535	 518	 594	 256	   0	   0
19	   8	   0	  19	  74	 542	 521	 599	 230	   0	   0
20	   6	 154	 187	  44	 542	 534	 521	 231	   0	   0
21	 595	 153	 634	  42	 541	 535	 573	 208	   0	   0
22	   7	 162	 176	  77	 542	 545	 573	 202	   0	   0
23	 641	   2	 106	  69	 541	 523	 571	 243	   0	   0
24	   6	  77	 103	  54	 542	 530	 523	 249	   0	   0
25	1012	  79	 622	  68	 539	 533	 532	 221	   0	   0
26	   0	   0	  36	  89	 542	 535	 551	 210	   0	   0
27	   0	   0	 539	  90	 541	 518	 523	 191	   0	   0
28	 649	   0	  21	 101	 541	 527	 517	 195	   0	   0
29	   8	   0	 201	  89	 542	 515	 544	 184	2212	5625
30	   0	   2	 240	  78	 542	 520	 519	 213	   0	   0
31	   0	 158	  52	  83	 541	 534	 550	 201	   0	   0
32	   0	   0	 255	 155	 542	 531	 571	 228	   0	   0
33	   0	   0	 244	 154	 541	 523	 512	 237	   0	   0
34	   9	   0	  35	  94	 542	 525	 531	 236	   0	   0
35	 593	   0	 160	  94	 538	 523	 533	 188	   0	   0
36	   0	 590	  78	  50	 541	 624	 534	 215	   0	   0
37	   0	 564	 243	  51	 542	 612	 505	 217	   0	   0
38	 769	   0	 334	  59	 540	 527	 536	 230	   0	   0
39	   7	   0	  43	  69	 542	 522	 502	 218	   0	   0
40	   0	   0	  39	  38	 541	 521	 520	 248	   0	   0
41	   0	   0	 226	  48	 542	 519	 468	 217	   0	   0
42	 891	 596	  19	 118	 540	 611	 527	 213	   0	   0
43	   7	   8	  18	 127	 542	 529	 521	 223	   0	   0
44	 650	   0	  17	 146	 540	 526	 545	 218	   0	   0
45	   5	   0	  16	 147	 542	 522	 538	 224	   0	   0
46	   0	   0	 585	  70	 542	 523	 535	 263	   0	   0
47	   0	   0	  80	  71	 541	 521	 510	 218	   0	   0
48	   0	 412	 368	  24	 541	 567	 517	 231	   0	   0
49	   0	   6	  44	  14	 542	 519	 529	 206	   0	   0
50	   5	 564	  11	  89	 542	 628	 536	 217	   0	   0
51	 468	 472	  22	  88	 536	 590	 571	 226	   0	   0
52	   0	 466	 215	  60	 541	 570	 553	 200	   0	   0
53	   0	   5	 113	  64	 542	 527	 530	 205	   0	   0
54	 895	   0	 224	  73	 540	 519	 532	 223	   0	   0
55	  10	   0	  44	  69	 542	 526	 583	 243	   0	   0
56	1021	   0	  24	  51	 540	 517	 548	 200	   0	   0
57	   6	   0	 219	  43	 542	 515	 510	 238	   0	   0
58	   0	   0	  12	 126	 541	 525	 538	 217	   0	   0
59	   0	   0	  15	 131	 542	 523	 501	 234	   0	   0
60	   0	   2	  74	  13	 542	 522	 531	 209	   0	   0
61	   0	 225	  26	  21	 541	 559	 493	 233	   0	   0
62	 450	 474	 217	  35	 535	 576	 544	 232	   0	   0
63	  11	   7	  90	  39	 542	 520	 552	 219	   0	   0
64	   0	   9	  85	  73	 539	 503	 545	 211	   0	   0
65	   0	1050	  30	  71	 538	 648	 530	 219	   0	   0
66	1289	   2	  55	  99	 538	 517	 529	 220	   0	   0
67	   8	 295	  23	 119	 539	 537	 526	 207	   0	   0
68	 472	   3	  14	  14	 534	 519	 543	 228	   0	   0
69	   8	 746	  46	  18	 539	 589	 513	 216	   0	   0
70	   0	   0	  96	  14	 539	 526	 483	 251	   0	   0
71	   0	   0	 640	  23	 538	 521	 550	 232	   0	   0
72	   0	 305	 313	 105	 538	 549	 602	 197	   0	   0
73	   0	   4	 423	 106	 539	 511	 520	 224	   0	   0
74	 489	   0	  49	  85	 535	 509	 542	 230	   0	   0
75	   8	   0	 331	  98	 539	 515	 574	 217	   0	   0
76	   0	   8	 275	  18	 538	 513	 578	 221	   0	   0
77	   0	 414	  41	  18	 539	 580	 547	 243	   0	   0
78	   7	 556	 224	  69	 539	 589	 589	 234	   0	   0
79	 612	 320	 142	  64	 532	 545	 564	 211	   0	   0
80	   0	   3	  12	  95	 538	 510	 481	 255	   0	   0
81	   0	 150	   9	  90	 539	 510	 564	 218	   0	   0
82	 695	 561	 336	  81	 532	 630	 551	 194	   0	   0
83	   5	 579	  58	  79	 539	 610	 526	 227	   0	   0
84	   0	1086	  24	  16	 539	 656	 521	 226	   0	   0
85	   0	  49	 276	  14	 539	 515	 536	 205	   0	   0
86	   8	  40	  20	  63	 539	 513	 540	 230	   0	   0
87	 490	  40	  15	  60	 534	 507	 533	 221	   0	   0
88	   4	 459	 244	  24	 539	 571	 574	 207	   0	   0
89	 608	   7	  23	  28	 538	 514	 515	 235	   0	   0
90	 387	  80	 190	  77	 537	 518	 536	 221	   0	   0
91	   6	  80	 276	  90	 539	 513	 526	 244	   0	   0
92	   0	 159	  49	  44	 539	 508	 501	 239	   0	   0
93	   0	   2	 492	  37	 538	 516	 488	 232	2043	2884
94	   8	   8	  39	 123	 539	 506	 526	 229	   0	   0
95	 594	 717	 333	 137	 537	 575	 533	 232	   0	   0
96	   0	  41	  23	  93	 539	 522	 539	 237	   0	   0
97	   0	 156	  23	 108	 538	 524	 506	 235	   0	   0
98	 486	   4	  79	  95	 533	 520	 566	 219	   0	   0
99	   8	 197	  17	  94	 539	 531	 568	 195	   0	   0
100	   0	 573	  14	  44	 539	 621	 505	 196	   0	   0
101	   0	  45	  12	  30	 538	 533	 530	 227	   0	   0
102	 614	 330	 205	  21	 537	 544	 525	 219	   0	   0
103	   6	  25	  26	  21	 539	 517	 535	 220	   0	   0
104	   0	 931	  32	  62	 538	 675	 553	 223	   0	   0
105	   0	  33	 341	  67	 539	 516	 613	 219	   0	   0
106	   9	  20	  30	  39	 539	 517	 537	 227	   0	   0
107	 702	  21	 357	  47	 538	 522	 554	 231	   0	   0
108	   8	  20	  26	  27	 539	 525	 517	 219	   0	   0
109	 422	  21	  55	  37	 538	 508	 507	 195	   0	   0
110	 645	  20	 104	  88	 538	 531	 539	 222	   0	   0
111	   2	  21	 264	  89	 539	 518	 524	 219	   0	   0
112	 461	 222	  41	  23	 535	 551	 545	 231	   0	   0
113	   7	  78	 380	  21	 539	 527	 557	 227	   0	   0
114	   0	 344	 324	  68	 539	 534	 529	 239	   0	   0
115	   0	  42	  92	  75	 538	 525	 503	 212	   0	   0
116	 910	   0	  19	  48	 538	 515	 495	 219	   0	   0
117	   8	   0	  52	  46	 539	 515	 564	 227	   0	   0
