P0=86617 	P1=2870  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=66827 	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 35739

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	 863	 853	 532	 180	 905	 889	 750	 260	32205	55702
1	 862	 838	 590	 149	 906	 874	 718	 241	 811	 743
2	 862	 803	 604	 165	 905	 878	 720	 274	   0	16628
3	 863	 912	 582	 193	 905	 859	 736	 250	   0	   0
4	 863	 814	 568	 191	 905	 901	 695	 255	 271	 444
5	 862	 832	 606	 133	 902	 865	 750	 254	3028	2803
6	 862	 897	 585	 164	 905	 871	 740	 275	 872	3569
7	 863	 845	 572	 168	 904	 877	 685	 226	   0	 410
8	 862	 930	 586	 179	 905	 877	 693	 280	   0	   0
9	 863	 862	 599	 182	 904	 871	 710	 252	   0	 438
10	 863	 832	 571	 155	 905	 873	 666	 254	   0	   0
11	 862	 815	 600	 181	 906	 884	 721	 289	   0	   0
12	 863	 822	 592	 190	 902	 886	 707	 261	   0	   0
13	 862	 892	 566	 194	 905	 877	 724	 226	   0	 141
14	 863	 781	 594	 166	 904	 874	 691	 253	   0	   0
15	 863	 841	 559	 174	 904	 878	 715	 257	   0	   0
16	 863	 792	 592	 180	 905	 876	 697	 252	   0	   0
17	 862	 833	 549	 182	 905	 874	 657	 268	   0	   0
18	 863	 891	 571	 164	 906	 874	 684	 264	   0	   0
19	 862	 998	 584	 175	 905	 888	 724	 257	 156	 472
20	 862	 764	 557	 182	 905	 856	 745	 252	   0	   0
21	 863	 807	 649	 172	 905	 890	 760	 255	7571	3735
22	 863	 840	 603	 145	 905	 865	 743	 247	 983	   0
23	 863	 895	 561	 186	 905	 904	 769	 277	   0	   0
24	 862	 811	 578	 167	 905	 877	 732	 261	   0	 453
25	 863	 910	 591	 179	 905	 889	 752	 231	   0	   0
26	 863	 833	 605	 187	 905	 853	 697	 236	 170	 442
27	 863	 848	 595	 166	 906	 897	 741	 245	   0	1034
28	 863	 845	 622	 168	 905	 881	 730	 284	   0	   0
29	 862	 857	 534	 160	 905	 866	 692	 278	   0	   0
30	 861	 786	 582	 159	 905	 885	 727	 257	   0	 465
