P0=69569 	P1=93263 	P2=0     	P3=0     	P4=0     	
P5=0     	P6=26420 	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 27671

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
0	 947	 484	 405	 213	3563	 890	 902	 485	66748	67938
1	 947	 465	 406	 267	3562	 893	 884	 452	   0	   0
2	 947	 473	 427	 230	3562	 888	 843	 475	   0	   0
3	 947	 470	 431	 228	3562	 892	 899	 474	   0	   0
4	 947	 468	 451	 222	3562	 890	 881	 502	   0	   0
5	 947	 472	 425	 213	3562	 892	 889	 471	   0	   0
6	 947	 469	 457	 213	3562	 889	 907	 494	   0	   0
7	 947	 476	 406	 211	3562	 889	 903	 489	   0	   0
8	 947	 472	 431	 214	3562	 892	 893	 466	   0	   0
9	 947	 480	 431	 216	3563	 892	 806	 500	   0	   0
10	 948	 470	 423	 223	3562	 892	 889	 473	   0	   0
11	 947	 468	 463	 217	3562	 891	 911	 461	   0	   0
12	 947	 465	 445	 258	3562	 885	 896	 472	   0	   0
13	 947	 481	 404	 206	3563	 895	 918	 428	   0	   0
14	 947	 468	 443	 224	3562	 890	 909	 463	   0	   0
15	 947	 482	 443	 214	3562	 890	 881	 477	   0	   0
16	 947	 471	 419	 226	3562	 891	 875	 465	   0	   0
17	 947	 476	 443	 261	3563	 893	 836	 488	   0	   0
18	 948	 475	 424	 212	3562	 890	 870	 492	   0	   0
19	 947	 477	 414	 243	3562	 891	 922	 508	   0	   0
20	 947	 472	 408	 215	3562	 890	 929	 482	   0	   0
21	 947	 472	 423	 227	3563	 892	 906	 490	   0	   0
22	 947	 473	 451	 228	3562	 885	 926	 473	   0	   0
23	 947	 477	 448	 213	3562	 890	 901	 471	   0	   0
24	 947	 469	 423	 244	3562	 888	 911	 474	   0	   0
25	 947	 476	 416	 200	3562	 892	 877	 451	   0	   0
26	 947	 466	 444	 240	3562	 892	 844	 446	   0	   0
27	 947	 481	 447	 209	3562	 891	 874	 469	   0	   0
28	 947	 471	 443	 206	3562	 888	 855	 485	   0	   0
29	 947	 474	 436	 259	3562	 890	 939	 478	   0	   0
30	 947	 474	 435	 200	3562	 893	 882	 502	   0	   0
31	 947	 473	 418	 248	3563	 894	 911	 487	   0	   0
32	 947	 474	 445	 217	3562	 890	 929	 501	   0	   0
33	 947	 469	 421	 239	3562	 890	 909	 511	   0	   0
34	 947	 477	 423	 201	3562	 892	 926	 497	   0	   0
35	 947	 471	 464	 217	3562	 890	 850	 496	   0	   0
36	 947	 478	 449	 220	3563	 890	 884	 487	   0	   0
37	 947	 479	 420	 240	3562	 893	 899	 493	   0	   0
38	 947	 473	 429	 230	3562	 890	 888	 459	   0	   0
39	 948	 466	 449	 221	3562	 891	 856	 479	   0	   0
40	 947	 471	 428	 234	3562	 890	 858	 503	   0	   0
41	 947	 476	 381	 221	3562	 889	 876	 496	   0	   0
42	 947	 474	 424	 226	3562	 890	 916	 455	   0	   0
43	 947	 473	 399	 226	3563	 890	 862	 506	   0	   0
44	 947	 470	 403	 208	3562	 890	 929	 464	   0	   0
45	 947	 479	 433	 228	3563	 888	 888	 423	   0	   0
46	 948	 474	 403	 204	3562	 892	 846	 442	   0	   0
47	 947	 471	 436	 214	3562	 893	 923	 470	   0	   0
48	 947	 471	 406	 226	3562	 888	 935	 474	   0	   0
49	 947	 477	 394	 223	3562	 892	 933	 455	   0	   0
50	 947	 476	 423	 228	3563	 893	 834	 453	   0	   0
51	 947	 469	 430	 216	3562	 893	 962	 436	   0	   0
52	 947	 473	 442	 221	3562	 890	 897	 523	   0	   0
53	 947	 466	 442	 218	3562	 890	 857	 458	   0	   0
54	 948	 475	 411	 244	3563	 890	 863	 459	   0	   0
55	 947	 476	 463	 252	3562	 892	 876	 446	   0	   0
56	 947	 477	 432	 223	3563	 892	 893	 502	   0	   0
57	 947	 478	 424	 223	3562	 886	 886	 482	   0	   0
58	 947	 481	 421	 220	3562	 892	 867	 494	   0	   0
59	 947	 467	 412	 205	3562	 890	 914	 477	   0	   0
60	 947	 484	 437	 208	3562	 888	 892	 477	   0	   0
61	 947	 470	 427	 246	3562	 893	 849	 470	   0	   0
62	 947	 464	 374	 221	3562	 892	 860	 486	   0	   0
63	 947	 475	 427	 231	3562	 891	 948	 478	   0	   0
64	   0	 473	 401	 239	   0	 888	 874	 463	   0	   0
65	   0	 473	 403	 198	   0	 891	 863	 459	   0	   0
66	   0	 457	 442	 230	   0	 892	 880	 457	   0	   0
67	   0	 485	 429	 211	   0	 891	 936	 491	   0	   0
68	   0	 469	 373	 264	   0	 892	 915	 486	   0	   0
69	   0	 473	 429	 196	   0	 890	 911	 445	   0	   0
70	   0	 470	 459	 260	   0	 891	 943	 461	   0	   0
71	   0	 476	 411	 244	   0	 890	 898	 457	   0	   0
72	   0	 479	 450	 230	   0	 891	 872	 471	   0	   0
73	   0	 476	 439	 222	   0	 889	 909	 496	   0	   0
74	   0	 478	 468	 224	   0	 889	 870	 507	   0	   0
